Date,XLK
2010-01-04,9.378782272338867
2010-01-05,9.366692543029785
2010-01-06,9.261900901794434
2010-01-07,9.225624084472656
2010-01-08,9.286081314086914
2010-01-11,9.249809265136719
2010-01-12,9.149045944213867
2010-01-13,9.237715721130371
2010-01-14,9.261900901794434
2010-01-15,9.132925987243652
2010-01-19,9.290108680725098
2010-01-20,9.14098834991455
2010-01-21,9.044259071350098
2010-01-22,8.729887962341309
2010-01-25,8.802434921264648
2010-01-26,8.778249740600586
2010-01-27,8.850799560546875
2010-01-28,8.596883773803711
2010-01-29,8.447754859924316
2010-02-01,8.544486999511719
2010-02-02,8.629125595092773
2010-02-03,8.64927864074707
2010-02-04,8.407452583312988
2010-02-05,8.492091178894043
2010-02-08,8.455818176269531
2010-02-09,8.528365135192871
2010-02-10,8.504182815551758
2010-02-11,8.592855453491211
2010-02-12,8.608973503112793
2010-02-16,8.737946510314941
2010-02-17,8.762126922607422
2010-02-18,8.818554878234863
2010-02-19,8.7943696975708
2010-02-22,8.778249740600586
2010-02-23,8.669428825378418
2010-02-24,8.754069328308105
2010-02-25,8.729887962341309
2010-02-26,8.741975784301758
2010-03-01,8.854827880859375
2010-03-02,8.84273910522461
2010-03-03,8.84676742553711
2010-03-04,8.88304328918457
2010-03-05,8.991863250732422
2010-03-08,9.040228843688965
2010-03-09,9.080533981323242
2010-03-10,9.14098834991455
2010-03-11,9.17725944519043
2010-03-12,9.169204711914062
2010-03-15,9.161140441894531
2010-03-16,9.229659080505371
2010-03-17,9.257867813110352
2010-03-18,9.269966125488281
2010-03-19,9.214571952819824
2010-03-22,9.283306121826172
2010-03-23,9.372259140014648
2010-03-24,9.327779769897461
2010-03-25,9.343955993652344
2010-03-26,9.299477577209473
2010-03-29,9.327779769897461
2010-03-30,9.368212699890137
2010-03-31,9.3399076461792
2010-04-01,9.323736190795898
2010-04-05,9.432905197143555
2010-04-06,9.440988540649414
2010-04-07,9.404603958129883
2010-04-08,9.420775413513184
2010-04-09,9.493550300598145
2010-04-12,9.513772964477539
2010-04-13,9.542069435119629
2010-04-14,9.679539680480957
2010-04-15,9.724018096923828
2010-04-16,9.594632148742676
2010-04-19,9.614850044250488
2010-04-20,9.667413711547852
2010-04-21,9.687627792358398
2010-04-22,9.71188735961914
2010-04-23,9.7361478805542
2010-04-26,9.724018096923828
2010-04-27,9.533984184265137
2010-04-28,9.562288284301758
2010-04-29,9.659327507019043
2010-04-30,9.457160949707031
2010-05-03,9.586545944213867
2010-05-04,9.311606407165527
2010-05-05,9.271174430847168
2010-05-06,8.992191314697266
2010-05-07,8.794069290161133
2010-05-10,9.198395729064941
2010-05-11,9.13774585723877
2010-05-12,9.376300811767578
2010-05-13,9.238828659057617
2010-05-14,9.060927391052246
2010-05-17,9.105400085449219
2010-05-18,8.967931747436523
2010-05-19,8.899197578430176
2010-05-20,8.616165161132812
2010-05-21,8.68086051940918
2010-05-24,8.640429496765137
2010-05-25,8.616165161132812
2010-05-26,8.53126049041748
2010-05-27,8.82237434387207
2010-05-28,8.749590873718262
2010-06-01,8.664687156677246
2010-06-02,8.858766555786133
2010-06-03,8.947713851928711
2010-06-04,8.660643577575684
2010-06-07,8.535306930541992
2010-06-08,8.551472663879395
2010-06-09,8.507000923156738
2010-06-10,8.713208198547363
2010-06-11,8.790026664733887
2010-06-14,8.77385425567627
2010-06-15,9.00432300567627
2010-06-16,9.028579711914062
2010-06-17,9.060927391052246
2010-06-18,9.060519218444824
2010-06-21,8.99559497833252
2010-06-22,8.918502807617188
2010-06-23,8.902274131774902
2010-06-24,8.723742485046387
2010-06-25,8.715627670288086
2010-06-28,8.73185920715332
2010-06-29,8.407249450683594
2010-06-30,8.277412414550781
2010-07-01,8.244949340820312
2010-07-02,8.23277759552002
2010-07-06,8.313929557800293
2010-07-07,8.58172607421875
2010-07-08,8.634478569030762
2010-07-09,8.679110527038574
2010-07-12,8.719680786132812
2010-07-13,8.845466613769531
2010-07-14,8.898219108581543
2010-07-15,8.926615715026855
2010-07-16,8.670995712280273
2010-07-19,8.756203651428223
2010-07-20,8.813006401062012
2010-07-21,8.707512855529785
2010-07-22,8.942850112915039
2010-07-23,9.003713607788086
2010-07-26,9.060519218444824
2010-07-27,9.084863662719727
2010-07-28,9.011826515197754
2010-07-29,8.930680274963379
2010-07-30,8.89416217803955
2010-08-02,9.080810546875
2010-08-03,9.03211784362793
2010-08-04,9.10515022277832
2010-08-05,9.064579010009766
2010-08-06,9.040233612060547
2010-08-09,9.101097106933594
2010-08-10,9.007770538330078
2010-08-11,8.792722702026367
2010-08-12,8.670995712280273
2010-08-13,8.63041877746582
2010-08-16,8.646646499633789
2010-08-17,8.739972114562988
2010-08-18,8.788664817810059
2010-08-19,8.68316650390625
2010-08-20,8.662879943847656
2010-08-23,8.585785865783691
2010-08-24,8.468117713928223
2010-08-25,8.52086353302002
2010-08-26,8.435660362243652
2010-08-27,8.53709602355957
2010-08-30,8.423480033874512
2010-08-31,8.395079612731934
2010-09-01,8.610129356384277
2010-09-02,8.687220573425293
2010-09-03,8.81706714630127
2010-09-07,8.74403190612793
2010-09-08,8.792722702026367
2010-09-09,8.81706714630127
2010-09-10,8.821122169494629
2010-09-13,8.979368209838867
2010-09-14,9.015888214111328
2010-09-15,9.072691917419434
2010-09-16,9.125439643859863
2010-09-17,9.174712181091309
2010-09-20,9.309098243713379
2010-09-21,9.292804718017578
2010-09-22,9.248015403747559
2010-09-23,9.235797882080078
2010-09-24,9.4149751663208
2010-09-27,9.419045448303223
2010-09-28,9.43126392364502
2010-09-29,9.410906791687012
2010-09-30,9.374255180358887
2010-10-01,9.378326416015625
2010-10-04,9.300952911376953
2010-10-05,9.484204292297363
2010-10-06,9.439412117004395
2010-10-07,9.439412117004395
2010-10-08,9.492348670959473
2010-10-11,9.508633613586426
2010-10-12,9.56564712524414
2010-10-13,9.643016815185547
2010-10-14,9.647093772888184
2010-10-15,9.809981346130371
