Date,JNJ,UNH
2010-01-04,39.97481918334961,24.407682418823242
2010-01-05,39.51128387451172,24.368980407714844
2010-01-06,39.83265686035156,24.608959197998047
2010-01-07,39.54836654663086,25.553369522094727
2010-01-08,39.68433380126953,25.313396453857422
2010-01-11,39.690521240234375,25.483701705932617
2010-01-12,39.9006462097168,24.810222625732422
2010-01-13,40.154052734375,25.18954086303711
2010-01-14,40.234397888183594,25.79334259033203
2010-01-15,39.9006462097168,26.126220703125
2010-01-19,40.38889694213867,27.194488525390625
2010-01-20,40.26529312133789,26.745500564575195
2010-01-21,39.5360107421875,25.62303924560547
2010-01-22,39.060115814208984,25.669492721557617
2010-01-25,39.072479248046875,25.545625686645508
2010-01-26,38.806724548339844,25.112138748168945
2010-01-27,39.208438873291016,25.731420516967773
2010-01-28,39.43094253540039,25.87850570678711
2010-01-29,38.84999084472656,25.545625686645508
2010-02-01,38.992130279541016,25.646263122558594
2010-02-02,39.54836654663086,26.358449935913086
2010-02-03,39.325870513916016,25.79334259033203
2010-02-04,38.714012145996094,25.127609252929688
2010-02-05,38.714012145996094,25.18954086303711
2010-02-08,38.547142028808594,25.088905334472656
2010-02-09,38.78817367553711,25.545625686645508
2010-02-10,38.76962661743164,25.32114028930664
2010-02-11,38.88089370727539,25.63852310180664
2010-02-12,38.763465881347656,24.910865783691406
2010-02-16,39.313514709472656,24.4851016998291
2010-02-17,39.54218673706055,25.197284698486328
2010-02-18,39.882102966308594,25.305660247802734
2010-02-19,39.738861083984375,24.72507095336914
2010-02-22,39.53958511352539,25.607563018798828
2010-02-23,39.427494049072266,25.398550033569336
2010-02-24,39.51467514038086,26.025577545166016
2010-02-25,39.40879821777344,25.893978118896484
2010-02-26,39.23442459106445,26.211368560791016
2010-03-01,39.4773063659668,26.350696563720703
2010-03-02,39.508445739746094,26.28103256225586
2010-03-03,39.48353576660156,26.397151947021484
2010-03-04,39.58940124511719,25.50692367553711
2010-03-05,39.882102966308594,26.11847686767578
2010-03-08,39.98174285888672,25.62303924560547
2010-03-09,40.02534103393555,25.607563018798828
2010-03-10,40.03779220581055,25.731420516967773
2010-03-11,39.99421310424805,25.932687759399414
2010-03-12,39.96929168701172,25.475967407226562
2010-03-15,40.21217727661133,25.181800842285156
2010-03-16,40.18726348876953,25.58433723449707
2010-03-17,40.26198959350586,25.35210418701172
2010-03-18,40.517330169677734,26.00235939025879
2010-03-19,40.54846954345703,26.62164306640625
2010-03-22,40.54225158691406,25.77786636352539
2010-03-23,40.704158782958984,25.669492721557617
2010-03-24,40.324275970458984,25.328886032104492
2010-03-25,40.21217727661133,25.63852310180664
2010-03-26,40.093849182128906,25.259206771850586
2010-03-29,40.36788558959961,25.421770095825195
2010-03-30,40.417701721191406,25.592077255249023
2010-03-31,40.60451126098633,25.29017448425293
2010-04-01,40.95950698852539,25.561359405517578
2010-04-05,40.729068756103516,25.67758560180664
2010-04-06,40.67302322387695,25.88678741455078
2010-04-07,40.616973876953125,25.514877319335938
2010-04-08,40.436378479003906,25.274677276611328
2010-04-09,40.567142486572266,24.995738983154297
2010-04-12,40.54846954345703,24.995738983154297
2010-04-13,40.90345001220703,24.918258666992188
2010-04-14,40.785125732421875,24.058208465576172
2010-04-15,40.79758071899414,23.7327880859375
2010-04-16,40.492408752441406,23.810264587402344
2010-04-19,41.12141036987305,24.197675704956055
2010-04-20,41.09649658203125,24.003971099853516
2010-04-21,40.72285461425781,23.446096420288086
2010-04-22,40.342960357666016,23.601062774658203
2010-04-23,40.5048828125,23.98072624206543
2010-04-26,40.33049774169922,23.1284236907959
2010-04-27,40.031578063964844,23.089683532714844
2010-04-28,40.243309020996094,23.5855712890625
2010-04-29,40.4862060546875,24.25191307067871
2010-04-30,40.044029235839844,23.484832763671875
2010-05-03,40.685489654541016,23.446096420288086
2010-05-04,40.29313278198242,22.8494873046875
2010-05-05,40.567142486572266,23.244644165039062
2010-05-06,39.48353576660156,22.655790328979492
2010-05-07,39.427494049072266,22.485326766967773
2010-05-10,40.324275970458984,23.151674270629883
2010-05-11,40.27445983886719,23.1284236907959
2010-05-12,40.417701721191406,23.492584228515625
2010-05-13,40.27445983886719,23.384117126464844
2010-05-14,39.83852005004883,23.54682731628418
2010-05-17,39.782466888427734,23.5855712890625
2010-05-18,39.21575927734375,23.384117126464844
2010-05-19,38.748680114746094,23.236896514892578
2010-05-20,37.708656311035156,22.438827514648438
2010-05-21,37.91416549682617,22.23737144470215
2010-05-24,37.72109603881836,22.338104248046875
2010-05-25,37.58409118652344,22.369098663330078
2010-05-26,37.154380798339844,22.30712127685547
2010-05-27,37.09782028198242,22.717769622802734
2010-05-28,36.6390266418457,22.524063110351562
2010-06-01,36.928138732910156,22.45431900024414
2010-06-02,37.53773880004883,23.174907684326172
2010-06-03,37.5628776550293,23.700111389160156
2010-06-04,36.456783294677734,23.606746673583984
2010-06-07,36.45050811767578,23.700111389160156
2010-06-08,36.85270690917969,24.034685134887695
2010-06-09,36.55734634399414,23.754573822021484
2010-06-10,36.76474380493164,23.886850357055664
2010-06-11,36.73959732055664,23.86350440979004
2010-06-14,36.71445083618164,23.801265716552734
2010-06-15,37.166954040527344,24.26810646057129
2010-06-16,37.229793548583984,24.423715591430664
2010-06-17,37.19209289550781,24.50930404663086
2010-06-18,37.19209289550781,24.377033233642578
2010-06-21,37.160667419433594,24.23697853088379
2010-06-22,37.179527282714844,23.840171813964844
2010-06-23,37.229793548583984,23.50559425354004
2010-06-24,37.45602798461914,23.15546417236328
2010-06-25,36.89043426513672,23.248825073242188
2010-06-28,37.36177444458008,22.711959838867188
2010-06-29,37.229793548583984,22.276235580444336
2010-06-30,37.11667251586914,22.097280502319336
2010-07-01,37.12295913696289,21.66933822631836
