Date,XLK
2010-01-04,9.378783226013184
2010-01-05,9.366694450378418
2010-01-06,9.261899948120115
2010-01-07,9.225625991821287
2010-01-08,9.286084175109863
2010-01-11,9.249808311462402
2010-01-12,9.149049758911133
2010-01-13,9.237715721130373
2010-01-14,9.261899948120115
2010-01-15,9.132925987243652
2010-01-19,9.290115356445312
2010-01-20,9.140987396240234
2010-01-21,9.044260025024414
2010-01-22,8.72988510131836
2010-01-25,8.802431106567383
2010-01-26,8.778252601623535
2010-01-27,8.850796699523926
2010-01-28,8.596880912780762
2010-01-29,8.44775676727295
2010-02-01,8.54448413848877
2010-02-02,8.629125595092773
2010-02-03,8.649277687072754
2010-02-04,8.407452583312988
2010-02-05,8.492091178894043
2010-02-08,8.455812454223633
2010-02-09,8.528365135192871
2010-02-10,8.504182815551758
2010-02-11,8.592851638793945
2010-02-12,8.608970642089844
2010-02-16,8.737947463989258
2010-02-17,8.762129783630371
2010-02-18,8.81855583190918
2010-02-19,8.794371604919434
2010-02-22,8.778252601623535
2010-02-23,8.669428825378418
2010-02-24,8.754070281982422
2010-02-25,8.72988510131836
2010-02-26,8.741975784301758
2010-03-01,8.854828834533691
2010-03-02,8.842737197875977
2010-03-03,8.84676456451416
2010-03-04,8.883040428161621
2010-03-05,8.991861343383789
2010-03-08,9.040227890014648
2010-03-09,9.080530166625977
2010-03-10,9.140987396240234
2010-03-11,9.177263259887695
2010-03-12,9.16920280456543
2010-03-15,9.161141395568848
2010-03-16,9.229655265808104
2010-03-17,9.257874488830566
2010-03-18,9.2699613571167
2010-03-19,9.214569091796877
2010-03-22,9.283302307128906
2010-03-23,9.37225341796875
2010-03-24,9.32777500152588
2010-03-25,9.343953132629396
2010-03-26,9.299476623535156
2010-03-29,9.32777500152588
2010-03-30,9.368208885192873
2010-03-31,9.339908599853516
2010-04-01,9.323734283447266
2010-04-05,9.432905197143556
2010-04-06,9.44098949432373
2010-04-07,9.4045991897583
2010-04-08,9.420775413513184
2010-04-09,9.493552207946776
2010-04-12,9.513768196105955
2010-04-13,9.542069435119627
2010-04-14,9.679543495178224
2010-04-15,9.724014282226562
2010-04-16,9.594636917114258
2010-04-19,9.614852905273438
2010-04-20,9.667412757873535
2010-04-21,9.68763256072998
2010-04-22,9.711888313293455
2010-04-23,9.736148834228516
2010-04-26,9.724014282226562
2010-04-27,9.533985137939451
2010-04-28,9.56228733062744
2010-04-29,9.659319877624512
2010-04-30,9.457164764404297
2010-05-03,9.586544036865234
2010-05-04,9.311607360839844
2010-05-05,9.271173477172852
2010-05-06,8.992189407348633
2010-05-07,8.79407024383545
2010-05-10,9.198394775390623
2010-05-11,9.137744903564451
2010-05-12,9.376299858093262
2010-05-13,9.238826751708984
2010-05-14,9.060920715332031
2010-05-17,9.105401992797852
2010-05-18,8.96793270111084
2010-05-19,8.899194717407227
2010-05-20,8.616168022155762
2010-05-21,8.680858612060547
2010-05-24,8.640424728393555
2010-05-25,8.616168022155762
2010-05-26,8.531259536743164
2010-05-27,8.822369575500488
2010-05-28,8.749593734741211
2010-06-01,8.664684295654297
2010-06-02,8.8587646484375
2010-06-03,8.947712898254395
2010-06-04,8.66064739227295
2010-06-07,8.535298347473145
2010-06-08,8.551475524902344
2010-06-09,8.507001876831055
2010-06-10,8.713205337524414
2010-06-11,8.790027618408203
2010-06-14,8.773853302001953
2010-06-15,9.004317283630371
2010-06-16,9.028579711914062
2010-06-17,9.060920715332031
2010-06-18,9.060518264770508
2010-06-21,8.99560260772705
2010-06-22,8.918506622314453
2010-06-23,8.902275085449219
2010-06-24,8.723742485046387
2010-06-25,8.71562671661377
2010-06-28,8.731860160827637
2010-06-29,8.40725040435791
2010-06-30,8.277409553527832
2010-07-01,8.244949340820312
2010-07-02,8.232779502868652
2010-07-06,8.31393051147461
2010-07-07,8.581729888916016
2010-07-08,8.634475708007812
2010-07-09,8.679112434387207
2010-07-12,8.719685554504395
2010-07-13,8.845470428466797
2010-07-14,8.898214340209961
2010-07-15,8.926618576049805
2010-07-16,8.67099380493164
2010-07-19,8.756204605102539
2010-07-20,8.813009262084961
2010-07-21,8.707509994506836
2010-07-22,8.942848205566406
2010-07-23,9.00370979309082
2010-07-26,9.060518264770508
2010-07-27,9.08486557006836
2010-07-28,9.01182746887207
2010-07-29,8.930676460266113
2010-07-30,8.894159317016602
2010-08-02,9.08080768585205
2010-08-03,9.032115936279297
2010-08-04,9.105152130126951
2010-08-05,9.064574241638184
2010-08-06,9.040230751037598
2010-08-09,9.101096153259276
2010-08-10,9.007769584655762
2010-08-11,8.792717933654785
2010-08-12,8.67099380493164
2010-08-13,8.63041877746582
2010-08-16,8.646649360656738
2010-08-17,8.73997688293457
2010-08-18,8.788666725158691
2010-08-19,8.6831693649292
2010-08-20,8.66287899017334
2010-08-23,8.58578109741211
2010-08-24,8.468114852905273
2010-08-25,8.520865440368652
2010-08-26,8.43565559387207
