date,BRK-B,JPM
2010-01-04,66.22000122070312,28.279190063476562
2010-01-05,66.54000091552734,28.826969146728516
2010-01-06,66.19999694824219,28.985355377197266
2010-01-07,66.45999908447266,29.559524536132812
2010-01-08,66.44000244140625,29.48692512512207
2010-01-11,66.5,29.387914657592773
2010-01-12,66.0,28.701581954956055
2010-01-13,66.0,29.203142166137695
2010-01-14,65.95999908447266,29.49352264404297
2010-01-15,64.94000244140625,28.826969146728516
2010-01-19,66.63999938964844,28.562976837158203
2010-01-20,69.5199966430664,28.64217758178711
2010-01-21,72.72000122070312,26.75469398498535
2010-01-22,70.0999984741211,25.84395980834961
2010-01-25,68.83999633789062,25.876955032348633
2010-01-26,68.0,25.368791580200195
2010-01-27,71.36000061035156,25.956151962280273
2010-01-28,73.75,26.055158615112305
2010-01-29,76.43000030517578,25.698774337768555
2010-02-01,75.41000366210938,26.154144287109375
2010-02-02,75.51000213623047,26.761302947998047
2010-02-03,74.36000061035156,26.589712142944336
2010-02-04,72.61000061035156,25.309389114379883
2010-02-05,73.56999969482422,25.27640151977539
2010-02-08,74.2300033569336,24.880428314208984
2010-02-09,74.52999877929688,25.335783004760742
2010-02-10,74.41999816894531,25.652565002441406
2010-02-11,76.69000244140625,25.751569747924805
2010-02-12,76.9000015258789,25.70536231994629
2010-02-16,76.05000305175781,26.444515228271484
2010-02-17,76.25,26.424728393554688
2010-02-18,76.63999938964844,26.668920516967773
2010-02-19,78.73999786376953,26.418119430541992
2010-02-22,79.55999755859375,26.95928192138672
2010-02-23,79.1500015258789,26.319122314453125
2010-02-24,79.68000030517578,26.95928192138672
2010-02-25,79.4000015258789,26.820697784423828
2010-02-26,80.12999725341797,27.698444366455078
2010-03-01,81.91000366210938,27.606050491333008
2010-03-02,80.7699966430664,27.467451095581055
2010-03-03,82.94999694824219,27.408056259155273
2010-03-04,82.68000030517578,27.665441513061523
2010-03-05,83.36000061035156,28.25282096862793
2010-03-08,82.79000091552734,28.107614517211914
2010-03-09,82.47000122070312,27.995420455932617
2010-03-10,82.06999969482422,28.331998825073242
2010-03-11,82.36000061035156,28.49698829650879
2010-03-12,82.23999786376953,28.47719383239746
2010-03-15,82.16999816894531,28.424388885498047
2010-03-16,82.30000305175781,28.53658676147461
2010-03-17,82.5,28.899555206298828
2010-03-18,82.3499984741211,28.800569534301758
2010-03-19,82.05999755859375,28.67517852783203
2010-03-22,82.37000274658203,28.86656379699707
2010-03-23,82.33000183105469,29.420928955078125
2010-03-24,81.44000244140625,29.658510208129883
2010-03-25,81.69999694824219,29.658510208129883
2010-03-26,81.30000305175781,29.711318969726562
2010-03-29,81.75,29.605722427368164
2010-03-30,81.5999984741211,29.420928955078125
2010-03-31,81.2699966430664,29.533124923706055
2010-04-01,81.6500015258789,29.85025405883789
2010-04-05,81.16000366210938,29.955968856811523
2010-04-06,80.91000366210938,30.28632164001465
2010-04-07,79.94999694824219,29.942750930786133
