date,XLV
2010-01-04,23.98484992980957
2010-01-05,23.749624252319336
2010-01-06,23.992443084716797
2010-01-07,24.075904846191406
2010-01-08,24.113842010498047
2010-01-11,24.250417709350586
2010-01-12,24.075904846191406
2010-01-13,24.39458656311035
2010-01-14,24.61463737487793
2010-01-15,24.447704315185547
2010-01-19,25.0395450592041
2010-01-20,24.827085494995117
2010-01-21,24.288360595703125
2010-01-22,24.02279281616211
2010-01-25,24.02279281616211
2010-01-26,23.886205673217773
2010-01-27,24.053144454956055
2010-01-28,23.901382446289062
2010-01-29,23.734458923339844
2010-02-01,23.871036529541016
2010-02-02,24.364233016967773
2010-02-03,24.0379638671875
2010-02-04,23.43094253540039
2010-02-05,23.393001556396484
2010-02-08,23.27918815612793
2010-02-09,23.46129035949707
2010-02-10,23.317123413085938
2010-02-11,23.476470947265625
2010-02-12,23.423351287841797
2010-02-16,23.62822151184082
2010-02-17,23.810327529907227
2010-02-18,23.924152374267578
2010-02-19,23.924152374267578
2010-02-22,23.855852127075195
2010-02-23,23.62822151184082
2010-02-24,23.802745819091797
2010-02-25,23.817914962768555
2010-02-26,23.825502395629883
2010-03-01,24.053144454956055
2010-03-02,24.136600494384766
2010-03-03,24.0379638671875
2010-03-04,23.962081909179688
2010-03-05,24.295944213867188
2010-03-08,24.151775360107422
2010-03-09,24.136600494384766
2010-03-10,24.151775360107422
2010-03-11,24.34147834777832
2010-03-12,24.15936279296875
2010-03-15,24.318714141845703
2010-03-16,24.38699722290039
2010-03-17,24.39458656311035
2010-03-18,24.5615177154541
2010-03-19,24.552377700805664
2010-03-22,24.712261199951172
2010-03-23,24.83406639099121
2010-03-24,24.567607879638672
2010-03-25,24.468637466430664
2010-03-26,24.285919189453125
2010-03-29,24.544771194458008
2010-03-30,24.544771194458008
2010-03-31,24.46102523803711
2010-04-01,24.598058700561523
2010-04-05,24.52954864501953
2010-04-06,24.514320373535156
2010-04-07,24.407732009887695
2010-04-08,24.316373825073242
2010-04-09,24.42296028137207
2010-04-12,24.354446411132812
2010-04-13,24.377275466918945
2010-04-14,24.293533325195312
2010-04-15,24.225011825561523
2010-04-16,24.080360412597656
2010-04-19,24.278308868408203
2010-04-20,24.33159828186035
2010-04-21,23.905258178710938
2010-04-22,23.631196975708008
2010-04-23,23.86720085144043
2010-04-26,23.615964889526367
2010-04-27,23.34189224243164
2010-04-28,23.494157791137695
2010-04-29,23.813907623291016
2010-04-30,23.509382247924805
2010-05-03,23.62358283996582
2010-05-04,23.486539840698242
