Date,CAT,HON
2010-01-04,39.12438201904297,25.312286376953125
2010-01-05,39.592132568359375,25.362464904785156
2010-01-06,39.71242141723633,25.362464904785156
2010-01-07,39.872779846191406,25.851776123046875
2010-01-08,40.320499420166016,26.422639846801758
2010-01-11,42.85306930541992,26.7551212310791
2010-01-12,41.59012985229492,26.45400619506836
2010-01-13,41.6502571105957,26.548114776611328
2010-01-14,41.4163932800293,26.704917907714844
2010-01-15,40.44758987426758,26.742582321166992
2010-01-19,40.99253845214844,26.880578994750977
2010-01-20,40.20537185668945,26.57318878173828
2010-01-21,38.24759292602539,25.55067253112793
2010-01-22,36.49835205078125,25.01744270324707
2010-01-25,37.097129821777344,25.23072624206543
2010-01-26,37.57481002807617,25.07390022277832
2010-01-27,35.953399658203125,25.25583267211914
2010-01-28,34.89039993286133,24.97980499267578
2010-01-29,35.146060943603516,24.23956298828125
2010-02-01,35.61701965332031,24.6975154876709
2010-02-02,36.027408599853516,24.79161262512207
2010-02-03,35.91977310180664,24.59714698791504
2010-02-04,34.5809326171875,23.66870880126953
2010-02-05,34.81639862060547,23.505611419677734
2010-02-08,34.163814544677734,23.129215240478516
2010-02-09,36.01396179199219,23.725170135498047
2010-02-10,35.7582893371582,23.66243553161621
2010-02-11,37.77663803100586,23.98236846923828
2010-02-12,37.81028366088867,23.750259399414062
2010-02-16,38.429222106933594,24.415225982666016
2010-02-17,38.68489456176758,24.71427345275879
2010-02-18,38.89346694946289,25.194780349731445
2010-02-19,39.189491271972656,25.42869758605957
2010-02-22,39.04146957397461,25.384445190429688
2010-02-23,38.11975860595703,25.245351791381836
2010-02-24,38.32158279418945,25.65631675720215
2010-02-25,38.207210540771484,25.409738540649414
2010-02-26,38.38213348388672,25.390766143798828
2010-03-01,38.920372009277344,25.649980545043945
2010-03-02,39.122196197509766,25.719539642333984
2010-03-03,39.40475845336914,25.87126350402832
2010-03-04,39.324031829833984,26.035654067993164
2010-03-05,39.848812103271484,26.497194290161133
2010-03-08,39.633522033691406,26.231645584106445
2010-03-09,39.8151741027832,26.72478485107422
2010-03-10,39.546058654785156,26.769044876098633
2010-03-11,39.62678909301758,26.946088790893555
2010-03-12,40.609046936035156,27.142061233520508
2010-03-15,40.01026153564453,27.1673641204834
2010-03-16,39.996822357177734,27.205293655395508
2010-03-17,40.514862060546875,27.129432678222656
2010-03-18,40.21210861206055,27.45818519592285
2010-03-19,39.942989349365234,27.704769134521484
2010-03-22,40.33320236206055,27.54037857055664
2010-03-23,41.98825454711914,27.93869972229004
2010-03-24,41.75276184082031,28.122045516967773
2010-03-25,41.80659866333008,28.033538818359375
2010-03-26,42.0084342956543,28.197912216186523
2010-03-29,42.70811080932617,28.368610382080078
2010-03-30,42.492828369140625,28.41919708251953
2010-03-31,42.284263610839844,28.621511459350586
2010-04-01,43.05123519897461,28.46977996826172
2010-04-05,43.724021911621094,28.735313415527344
2010-04-06,43.92584991455078,28.74164581298828
2010-04-07,43.374168395996094,28.60887908935547
2010-04-08,43.380897521972656,28.760591506958008
2010-04-09,43.91239547729492,28.937644958496094
2010-04-12,44.89467239379883,29.076732635498047
2010-04-13,44.53136444091797,28.86808967590332
2010-04-14,45.264686584472656,29.291677474975586
2010-04-15,45.897098541259766,29.380199432373047
