date,XLB
2010-01-04,12.01651382446289
2010-01-05,12.055363655090332
2010-01-06,12.260237693786621
2010-01-07,12.164864540100098
2010-01-08,12.334409713745117
2010-01-11,12.267300605773926
2010-01-12,12.034174919128418
2010-01-13,12.17546558380127
2010-01-14,12.027112007141113
2010-01-15,11.938802719116211
2010-01-19,12.129547119140625
2010-01-20,11.914082527160645
2010-01-21,11.398380279541016
2010-01-22,11.172320365905762
2010-01-25,11.271221160888672
2010-01-26,11.112272262573242
2010-01-27,11.016901969909668
2010-01-28,10.819099426269531
2010-01-29,10.646018981933594
2010-02-01,11.069887161254883
2010-02-02,11.105210304260254
2010-02-03,10.978047370910645
2010-02-04,10.568316459655762
2010-02-05,10.766119003295898
2010-02-08,10.593037605285645
2010-02-09,10.85089111328125
2010-02-10,10.776717185974121
2010-02-11,10.9603910446167
2010-02-12,10.939196586608887
2010-02-16,11.214707374572754
2010-02-17,11.221771240234375
2010-02-18,11.341866493225098
2010-02-19,11.405447006225586
2010-02-22,11.355995178222656
2010-02-23,11.175849914550781
2010-02-24,11.147590637207031
2010-02-25,11.122868537902832
2010-02-26,11.126401901245117
2010-03-01,11.29594898223877
2010-03-02,11.391317367553711
2010-03-03,11.490219116210938
2010-03-04,11.567925453186035
2010-03-05,11.716278076171875
2010-03-08,11.716278076171875
2010-03-09,11.642099380493164
2010-03-10,11.645630836486816
2010-03-11,11.712745666503906
2010-03-12,11.75866413116455
2010-03-15,11.755132675170898
2010-03-16,11.928208351135254
2010-03-17,11.995318412780762
2010-03-18,11.91054630279541
2010-03-19,11.780637741088867
2010-03-22,11.954086303710938
2010-03-23,12.10983943939209
2010-03-24,12.074447631835938
2010-03-25,11.833732604980469
2010-03-26,11.922228813171387
2010-03-29,12.049664497375488
2010-03-30,12.067364692687988
2010-03-31,12.007186889648438
2010-04-01,12.21603775024414
2010-04-05,12.364717483520508
2010-04-06,12.38595199584961
2010-04-07,12.308074951171875
2010-04-08,12.336393356323242
2010-04-09,12.35763168334961
2010-04-12,12.318696022033691
2010-04-13,12.272674560546875
2010-04-14,12.364717483520508
2010-04-15,12.364717483520508
2010-04-16,12.152326583862305
2010-04-19,12.155860900878906
2010-04-20,12.19480037689209
2010-04-21,12.162939071655273
2010-04-22,12.283293724060059
2010-04-23,12.393028259277344
2010-04-26,12.446125984191895
