Date,KO,PG
2010-01-04,17.31633186340332,37.8610954284668
2010-01-05,17.106857299804688,37.87348556518555
2010-01-06,17.100786209106445,37.69384002685547
2010-01-07,17.058286666870117,37.48942565917969
2010-01-08,16.742563247680664,37.43986129760742
2010-01-11,17.082569122314453,37.29119873046875
2010-01-12,17.267757415771484,37.71862030029297
2010-01-13,17.313304901123047,38.10887145996094
2010-01-14,17.343658447265625,38.146053314208984
2010-01-15,17.088647842407227,37.67525863647461
2010-01-19,17.128108978271484,38.232765197753906
2010-01-20,16.848825454711914,37.71493148803711
2010-01-21,16.505765914916992,37.3343505859375
2010-01-22,16.466299057006836,37.627586364746094
2010-01-25,16.499696731567383,37.82724380493164
2010-01-26,16.435949325561523,37.86466598510742
2010-01-27,16.54826545715332,37.93953323364258
2010-01-28,16.44808578491211,38.48231506347656
2010-01-29,16.46933937072754,38.401222229003906
2010-02-01,16.508806228637695,38.67573928833008
2010-02-02,16.71220588684082,39.243499755859375
2010-02-03,16.657562255859375,39.087520599365234
2010-02-04,16.220401763916016,38.30762481689453
2010-02-05,16.1171875,38.245235443115234
2010-02-08,15.98360538482666,38.06431198120117
2010-02-09,16.396484375,38.53223419189453
2010-02-10,16.329689025878906,38.476070404052734
2010-02-11,16.46023178100586,38.65701675415039
2010-02-12,16.387371063232422,38.53223419189453
2010-02-16,16.642379760742188,39.199825286865234
2010-02-17,16.797210693359375,39.2122917175293
2010-02-18,16.973283767700195,39.5492057800293
2010-02-19,16.915605545043945,39.58663558959961
2010-02-22,16.8123836517334,39.56792449951172
2010-02-23,16.64542007446289,39.4369010925293
2010-02-24,16.74559783935547,39.86116027832031
2010-02-25,16.12628936767578,39.74260330200195
2010-02-26,16.004850387573242,39.4805793762207
2010-03-01,16.171829223632812,39.624080657958984
2010-03-02,16.18093490600586,39.74885940551758
2010-03-03,16.372196197509766,39.64902877807617
2010-03-04,16.536121368408203,39.723907470703125
2010-03-05,16.6059513092041,39.73637008666992
2010-03-08,16.53308868408203,39.4244270324707
2010-03-09,16.44808578491211,39.493045806884766
2010-03-10,16.454160690307617,39.3121223449707
2010-03-11,16.405181884765625,39.411949157714844
2010-03-12,16.328672409057617,39.50551986694336
2010-03-15,16.42049789428711,39.74260330200195
2010-03-16,16.43579864501953,39.63654708862305
2010-03-17,16.4786434173584,39.93601989746094
2010-03-18,16.512310028076172,39.76131057739258
2010-03-19,16.757165908813477,39.82994842529297
2010-03-22,16.692895889282227,39.854915618896484
2010-03-23,16.92549705505371,40.260459899902344
2010-03-24,16.717376708984375,39.68646240234375
2010-03-25,16.772464752197266,39.692691802978516
2010-03-26,16.7265567779541,39.73637008666992
2010-03-29,16.763286590576172,39.76131057739258
2010-03-30,16.79389762878418,39.7176513671875
2010-03-31,16.83367919921875,39.474334716796875
2010-04-01,16.92549705505371,39.53049087524414
2010-04-05,16.79083251953125,39.78003692626953
2010-04-06,16.616374969482422,39.37451934814453
2010-04-07,16.47252655029297,38.99393844604492
2010-04-08,16.45416259765625,39.0313606262207
2010-04-09,16.70819091796875,39.137428283691406
2010-04-12,16.760225296020508,39.11870574951172
2010-04-13,16.839805603027344,39.305877685546875
2010-04-14,16.818376541137695,39.4244270324707
2010-04-15,16.607189178466797,39.305877685546875
2010-04-16,16.824506759643555,39.2122917175293
2010-04-19,16.931625366210938,39.443153381347656
2010-04-20,16.67146110534668,39.4244270324707
2010-04-21,16.585771560668945,39.698944091796875
2010-04-22,16.622495651245117,39.673988342285156
2010-04-23,16.490890502929688,39.642791748046875
2010-04-26,16.444978713989258,39.89234924316406
2010-04-27,16.181760787963867,39.37451934814453
2010-04-28,16.33173179626465,39.715267181396484
2010-04-29,16.44803237915039,39.105430603027344
2010-04-30,16.359277725219727,39.08028030395508
2010-05-03,16.45416259765625,39.40720748901367
2010-05-04,16.276641845703125,38.7973518371582
2010-05-05,16.42355728149414,39.08028030395508
2010-05-06,16.007307052612305,38.19381332397461
2010-05-07,16.120548248291016,37.91717529296875
2010-05-10,16.539859771728516,39.243736267089844
2010-05-11,16.408246994018555,39.212303161621094
2010-05-12,16.53373146057129,39.6209716796875
2010-05-13,16.371522903442383,39.45121383666992
2010-05-14,16.325613021850586,39.319190979003906
2010-05-17,16.347034454345703,39.847293853759766
2010-05-18,16.252159118652344,39.740421295166016
2010-05-19,16.258275985717773,39.7467155456543
2010-05-20,15.774686813354492,38.7344856262207
2010-05-21,15.78998851776123,38.885379791259766
2010-05-24,15.750205039978027,38.602455139160156
2010-05-25,15.493106842041016,38.38241195678711
2010-05-26,15.327828407287598,37.99889373779297
2010-05-27,15.679808616638184,38.319549560546875
2010-05-28,15.731844902038574,38.40757369995117
2010-06-01,15.69817066192627,38.451560974121094
2010-06-02,16.040964126586914,38.81621551513672
2010-06-03,16.145036697387695,38.853946685791016
2010-06-04,15.692049980163574,38.225242614746094
2010-06-07,15.548199653625488,38.11207580566406
2010-06-08,15.780814170837402,39.06769943237305
2010-06-09,15.716544151306152,38.64646530151367
2010-06-10,16.053211212158203,38.92310333251953
2010-06-11,15.942094802856445,38.357269287109375
2010-06-14,15.898881912231445,38.50815963745117
2010-06-15,16.105688095092773,38.92310333251953
2010-06-16,16.173587799072266,38.470436096191406
2010-06-17,16.161237716674805,38.82879638671875
2010-06-18,16.145803451538086,38.539581298828125
2010-06-21,16.198272705078125,38.41385269165039
2010-06-22,16.192106246948242,38.17494201660156
2010-06-23,16.124208450317383,38.58987808227539
2010-06-24,15.988396644592285,38.26924514770508
2010-06-25,15.513059616088867,37.590248107910156
2010-06-28,15.76616096496582,38.11207580566406
2010-06-29,15.534664154052734,37.92345428466797
2010-06-30,15.46985149383545,37.70969772338867
2010-07-01,15.442069053649902,37.43306350708008
2010-07-02,15.448246955871582,37.33247375488281
2010-07-06,15.56553840637207,37.30733108520508
2010-07-07,15.886539459228516,38.237815856933594
2010-07-08,16.179758071899414,38.948246002197266
2010-07-09,16.173587799072266,38.8225212097168
2010-07-12,16.189022064208984,39.036258697509766
2010-07-13,16.272354125976562,39.22487258911133
2010-07-14,16.303234100341797,39.394630432128906
2010-07-15,16.312488555908203,39.438636779785156
2010-07-16,16.164321899414062,38.9734001159668
2010-07-19,16.133466720581055,38.89167404174805
2010-07-20,16.432859420776367,39.02370071411133
2010-07-21,16.692136764526367,38.72081756591797
2010-07-22,16.7476863861084,38.88554000854492
2010-07-23,16.898937225341797,39.227725982666016
2010-07-26,16.95757484436035,39.614219665527344
2010-07-27,16.991525650024414,39.96905517578125
2010-07-28,16.939056396484375,39.7282829284668
2010-07-29,16.973007202148438,39.07564163208008
2010-07-30,17.010046005249023,38.75249099731445
2010-08-02,17.411298751831055,39.32276916503906
2010-08-03,17.402042388916016,37.97947311401367
2010-08-04,17.454511642456055,37.732357025146484
2010-08-05,17.39894676208496,37.92879104614258
2010-08-06,17.5162410736084,38.03017044067383
2010-08-09,17.62735939025879,38.25827407836914
2010-08-10,17.58723258972168,38.511722564697266
2010-08-11,17.297096252441406,38.188568115234375
2010-08-12,17.189064025878906,38.01115036010742
2010-08-13,17.201412200927734,37.903446197509766
2010-08-16,17.247711181640625,37.871768951416016
2010-08-17,17.321786880493164,38.20125198364258
2010-08-18,17.235366821289062,38.49272155761719
2010-08-19,17.062517166137695,38.137882232666016
2010-08-20,17.06868553161621,38.004817962646484
2010-08-23,17.161283493041992,38.03651428222656
2010-08-24,17.1798095703125,37.802059173583984
2010-08-25,17.096471786499023,37.80839920043945
2010-08-26,17.025476455688477,37.72602081298828
2010-08-27,17.33414077758789,37.890769958496094
2010-08-30,17.145854949951172,37.618316650390625
2010-08-31,17.247711181640625,37.80839920043945
2010-09-01,17.689085006713867,37.890769958496094
2010-09-02,17.710697174072266,38.06183624267578
2010-09-03,17.766250610351562,38.20125198364258
2010-09-07,17.787860870361328,38.106204986572266
2010-09-08,17.849594116210938,38.25194549560547
2010-09-09,17.991575241088867,38.20125198364258
2010-09-10,18.062564849853516,38.27094650268555
2010-09-13,18.04701042175293,38.32164001464844
2010-09-14,17.910179138183594,38.423011779785156
2010-09-15,17.85731315612793,38.72081756591797
2010-09-16,17.885295867919922,38.72081756591797
2010-09-17,17.900840759277344,38.632102966308594
2010-09-20,18.02835464477539,38.92356872558594
2010-09-21,18.071889877319336,38.980613708496094
2010-09-22,18.10921287536621,39.15169143676758
2010-09-23,17.997255325317383,38.790523529052734
2010-09-24,18.230493545532227,39.056640625
2010-09-27,18.22428321838379,38.67647171020508
2010-09-28,18.37977409362793,38.41034698486328
2010-09-29,18.274038314819336,38.1759033203125
2010-09-30,18.19940185546875,37.99849319458008
2010-10-01,18.385997772216797,38.118892669677734
2010-10-04,18.311357498168945,37.99215316772461
2010-10-05,18.553936004638672,38.537071228027344
2010-10-06,18.597476959228516,38.56875228881836
2010-10-07,18.485515594482422,38.5244026184082
2010-10-08,18.476186752319336,39.196048736572266
2010-10-11,18.5228328704834,39.373443603515625
2010-10-12,18.535282135009766,39.297420501708984
2010-10-13,18.641016006469727,39.683921813964844
2010-10-14,18.631681442260742,39.79164505004883
2010-10-15,18.641016006469727,39.766300201416016
2010-10-18,18.6596736907959,40.14015197753906
2010-10-19,18.765409469604492,40.032440185546875
2010-10-20,19.017322540283203,40.46147918701172
2010-10-21,19.116836547851562,40.550880432128906
2010-10-22,19.160377502441406,40.48064041137695
2010-10-25,18.97378158569336,40.57003402709961
2010-10-26,19.045307159423828,40.13587951660156
2010-10-27,19.029760360717773,40.276329040527344
2010-10-28,19.035972595214844,40.3465576171875
2010-10-29,19.0701904296875,40.58918762207031
2010-11-01,19.19147300720215,40.62111282348633
2010-11-02,19.23812484741211,40.87651443481445
2010-11-03,19.266115188598633,41.06167984008789
2010-11-04,19.42160987854004,41.50222396850586
2010-11-05,19.4620418548584,41.50222396850586
2010-11-08,19.424720764160156,41.342613220214844
2010-11-09,19.48069953918457,41.380916595458984
2010-11-10,19.452709197998047,41.22768783569336
2010-11-11,19.53045654296875,41.09359359741211
2010-11-12,19.567771911621094,41.07444381713867
2010-11-15,19.580217361450195,41.04890823364258
2010-11-16,19.306541442871094,40.5125617980957
2010-11-17,19.44338035583496,40.397647857666016
2010-11-18,19.853893280029297,40.87651443481445
2010-11-19,20.003170013427734,40.89567184448242
2010-11-22,19.987619400024414,40.58280563354492
2010-11-23,19.785470962524414,39.97623825073242
2010-11-24,20.093353271484375,39.969852447509766
