date,XLRE
2015-10-08,21.04412078857422
2015-10-09,21.009292602539062
2015-10-12,21.14164924621582
2015-10-13,21.009292602539062
2015-10-14,21.009292602539062
2015-10-15,20.94660758972168
2015-10-16,21.345050811767578
2015-10-19,21.594438552856445
2015-10-20,21.615337371826172
2015-10-21,21.632749557495117
2015-10-22,21.906511306762695
2015-10-23,21.643198013305664
2015-10-26,21.671070098876953
2015-10-27,21.676633834838867
2015-10-28,21.597919464111328
2015-10-29,21.696142196655273
2015-10-30,21.559612274169922
2015-11-02,21.559612274169922
2015-11-03,21.83824348449707
2015-11-04,21.747695922851562
2015-11-05,21.664094924926758
2015-11-06,20.86301040649414
2015-11-09,20.69582748413086
2015-11-10,20.91873550415039
2015-11-11,20.991188049316406
2015-11-12,20.86301040649414
2015-11-13,20.591333389282227
2015-11-16,20.57044219970703
2015-11-17,20.890872955322266
2015-11-18,21.13816261291504
2015-11-19,21.25310707092285
2015-11-20,21.427255630493164
2015-11-23,21.538711547851562
2015-11-24,21.211307525634766
2015-11-25,21.211307525634766
2015-11-27,21.371522903442383
2015-11-30,21.420286178588867
2015-12-01,21.774852752685547
2015-12-02,21.329730987548828
2015-12-03,20.90481185913086
2015-12-04,21.329730987548828
2015-12-07,21.329730987548828
2015-12-08,21.39938735961914
2015-12-09,21.280967712402344
2015-12-10,21.106822967529297
2015-12-11,20.99397087097168
2015-12-14,21.058752059936523
2015-12-15,21.301862716674805
2015-12-16,21.68498420715332
2015-12-17,21.65713119506836
2015-12-18,21.375410079956055
2015-12-21,21.41061782836914
2015-12-22,21.607826232910156
2015-12-23,21.819116592407227
2015-12-24,21.84025764465332
2015-12-28,21.781789779663086
2015-12-29,22.143089294433594
2015-12-30,22.143089294433594
2015-12-31,21.962797164916992
2016-01-04,21.452882766723633
2016-01-05,22.102949142456055
2016-01-06,21.889545440673828
2016-01-07,21.488101959228516
2016-01-08,21.206384658813477
2016-01-11,21.333154678344727
2016-01-12,21.100736618041992
2016-01-13,20.882396697998047
2016-01-14,20.952835083007812
2016-01-15,20.600685119628906
2016-01-19,20.74154281616211
2016-01-20,20.185148239135742
2016-01-21,20.340087890625
2016-01-22,20.762672424316406
2016-01-25,20.762672424316406
2016-01-26,20.94719886779785
2016-01-27,20.762672424316406
2016-01-28,20.53729248046875
2016-01-29,20.558425903320312
2016-02-01,20.995088577270508
2016-02-02,20.72745704650879
2016-02-03,20.748584747314453
2016-02-04,20.87325096130371
2016-02-05,20.493635177612305
2016-02-08,19.407609939575195
2016-02-09,19.255477905273438
2016-02-10,19.663970947265625
2016-02-11,19.17095947265625
2016-02-12,19.361125946044922
2016-02-16,19.361125946044922
2016-02-17,19.96681785583496
2016-02-18,20.213321685791016
2016-02-19,20.185148239135742
2016-02-22,20.49504280090332
2016-02-23,20.389394760131836
2016-02-24,20.406293869018555
2016-02-25,20.53729248046875
2016-02-26,20.68520164489746
2016-02-29,20.657026290893555
2016-03-01,21.15003204345703
2016-03-02,21.3824520111084
2016-03-03,21.412029266357422
2016-03-04,21.474016189575195
2016-03-07,21.45992660522461
2016-03-08,21.42753028869629
2016-03-09,21.362028121948242
2016-03-10,21.261314392089844
2016-03-11,21.755727767944336
2016-03-14,21.826162338256836
2016-03-15,21.970542907714844
2016-03-16,21.805030822753906
2016-03-17,22.534685134887695
2016-03-18,22.37611961364746
2016-03-21,22.26236343383789
2016-03-22,22.223249435424805
2016-03-23,22.1414852142334
2016-03-24,22.177034378051758
2016-03-28,22.319242477416992
2016-03-29,22.8027400970459
2016-03-30,22.752975463867188
2016-03-31,22.866735458374023
2016-04-01,22.91437530517578
2016-04-04,22.880958557128906
2016-04-05,22.67618179321289
2016-04-06,22.738750457763672
2016-04-07,22.553878784179688
2016-04-08,22.767194747924805
2016-04-11,22.752975463867188
2016-04-12,22.852508544921875
2016-04-13,22.76506233215332
2016-04-14,22.674753189086914
2016-04-15,22.83118438720703
2016-04-18,22.91650390625
2016-04-19,22.83829116821289
2016-04-20,22.610767364501953
2016-04-21,22.08744239807129
2016-04-22,22.36901092529297
2016-04-25,22.52614974975586
2016-04-26,22.589435577392578
2016-04-27,22.504114151000977
2016-04-28,22.526859283447266
2016-04-29,22.312135696411133
2016-05-02,22.546772003173828
2016-05-03,22.660533905029297
2016-05-04,22.98760986328125
2016-05-05,23.008947372436523
2016-05-06,23.12981414794922
2016-05-09,23.363033294677734
2016-05-10,23.44978141784668
2016-05-11,23.023162841796875
2016-05-12,23.101375579833984
2016-05-13,22.767898559570312
2016-05-16,23.078622817993164
2016-05-17,22.696090698242188
2016-05-18,22.136503219604492
2016-05-19,22.091712951660156
2016-05-20,22.242450714111328
2016-05-23,22.312135696411133
2016-05-24,22.461444854736328
2016-05-25,22.613601684570312
2016-05-26,22.596548080444336
2016-05-27,22.6854248046875
2016-05-31,22.696090698242188
2016-06-01,22.610767364501953
2016-06-02,22.681865692138672
2016-06-03,22.784255981445312
2016-06-06,22.79563331604004
2016-06-07,22.814119338989258
2016-06-08,22.923616409301758
2016-06-09,22.97196388244629
2016-06-10,22.8596248626709
2016-06-13,22.852508544921875
2016-06-14,22.745864868164062
2016-06-15,22.98050308227539
2016-06-16,23.098535537719727
2016-06-17,23.062685012817383
2016-06-20,23.084192276000977
2016-06-21,23.270580291748047
2016-06-22,23.249080657958984
2016-06-23,23.349451065063477
2016-06-24,23.055513381958008
2016-06-27,23.019668579101562
2016-06-28,23.442646026611328
2016-06-29,23.88711929321289
2016-06-30,24.0806827545166
2016-07-01,24.06634521484375
2016-07-05,24.24198341369629
2016-07-06,24.209728240966797
2016-07-07,23.908626556396484
2016-07-08,24.32300567626953
2016-07-11,24.510822296142578
2016-07-12,24.561002731323242
2016-07-13,24.67570686340332
2016-07-14,24.538785934448242
2016-07-15,24.50294303894043
2016-07-18,24.510822296142578
2016-07-19,24.581085205078125
2016-07-20,24.54667091369629
2016-07-21,24.618364334106445
2016-07-22,24.804750442504883
2016-07-25,24.76890754699707
2016-07-26,24.629114151000977
2016-07-27,24.446304321289062
2016-07-28,24.596853256225586
2016-07-29,24.860666275024414
2016-08-01,24.94096565246582
2016-08-02,24.561002731323242
2016-08-03,24.374610900878906
2016-08-04,24.331594467163086
2016-08-05,24.331594467163086
2016-08-08,24.324430465698242
2016-08-09,24.48931884765625
2016-08-10,24.439130783081055
2016-08-11,24.209728240966797
2016-08-12,24.288589477539062
2016-08-15,24.259904861450195
2016-08-16,23.96598243713379
2016-08-17,24.06634521484375
2016-08-18,24.01616668701172
2016-08-19,23.82977294921875
2016-08-22,23.944473266601562
2016-08-23,23.930133819580078
2016-08-24,23.865615844726562
2016-08-25,23.96598243713379
2016-08-26,23.72940444946289
2016-08-29,23.96598243713379
2016-08-30,23.894285202026367
2016-08-31,23.930133819580078
2016-09-01,23.9229679107666
2016-09-02,24.0806827545166
2016-09-06,24.281417846679688
2016-09-07,24.40249252319336
2016-09-08,24.092599868774414
2016-09-09,23.177324295043945
2016-09-12,23.271013259887695
2016-09-13,22.860218048095703
2016-09-14,22.903467178344727
2016-09-15,23.07642936706543
2016-09-16,22.997148513793945
2016-09-19,23.234973907470703
2016-09-20,23.19173812866211
2016-09-21,23.458393096923828
2016-09-22,23.919633865356445
2016-09-23,24.013320922851562
2016-09-26,24.063764572143555
2016-09-27,23.85477066040039
2016-09-28,24.020523071289062
2016-09-29,23.725051879882812
2016-09-30,23.616939544677734
2016-10-03,23.162904739379883
2016-10-04,22.809770584106445
2016-10-05,22.384565353393555
2016-10-06,22.427804946899414
2016-10-07,22.370153427124023
2016-10-10,22.45663833618164
2016-10-11,22.283674240112305
2016-10-12,22.600778579711914
2016-10-13,22.67283821105957
2016-10-14,22.644014358520508
2016-10-17,22.665632247924805
2016-10-18,22.780941009521484
2016-10-19,22.86742401123047
2016-10-20,22.78814697265625
2016-10-21,22.77373504638672
2016-10-24,22.802568435668945
2016-10-25,22.77373504638672
2016-10-26,22.478252410888672
2016-10-27,21.944950103759766
2016-10-28,22.00260353088379
2016-10-31,22.305286407470703
2016-11-01,21.86566734313965
2016-11-02,21.526947021484375
2016-11-03,21.433256149291992
2016-11-04,21.577394485473633
2016-11-07,21.973773956298828
2016-11-08,22.110700607299805
2016-11-09,21.61343002319336
2016-11-10,21.289119720458984
2016-11-11,21.31073760986328
2016-11-14,21.72873878479004
2016-11-15,21.5845947265625
2016-11-16,21.570188522338867
2016-11-17,21.368392944335938
2016-11-18,21.411640167236328
2016-11-21,21.353981018066406
2016-11-22,21.72153663635254
2016-11-23,21.570188522338867
2016-11-25,21.66387939453125
2016-11-28,21.74315643310547
2016-11-29,21.89449691772461
2016-11-30,21.627840042114258
2016-12-01,21.296323776245117
2016-12-02,21.49812126159668
2016-12-05,21.67108726501465
2016-12-06,21.764772415161133
2016-12-07,22.21880531311035
2016-12-08,22.33411979675293
2016-12-09,22.319704055786133
2016-12-12,22.550325393676758
2016-12-13,22.60797882080078
2016-12-14,22.21159553527832
2016-12-15,22.03142738342285
2016-12-16,22.340410232543945
2016-12-19,22.538562774658203
2016-12-20,22.553245544433594
2016-12-21,22.267013549804688
2016-12-22,22.237655639648438
2016-12-23,22.25967788696289
2016-12-27,22.318387985229492
2016-12-28,22.149587631225586
2016-12-29,22.355085372924805
