date,CAT,HON
2010-01-04,39.1243782043457,25.312288284301758
2010-01-05,39.59213638305664,25.362468719482422
2010-01-06,39.712425231933594,25.362468719482422
2010-01-07,39.87279510498047,25.851774215698242
2010-01-08,40.32050323486328,26.422637939453125
2010-01-11,42.85305404663086,26.755115509033203
2010-01-12,41.590118408203125,26.45400619506836
2010-01-13,41.65024948120117,26.548107147216797
2010-01-14,41.4163703918457,26.70492935180664
2010-01-15,40.44758224487305,26.74256706237793
2010-01-19,40.99252700805664,26.880578994750977
2010-01-20,40.20538330078125,26.573204040527344
2010-01-21,38.24757766723633,25.550674438476562
2010-01-22,36.498355865478516,25.017446517944336
2010-01-25,37.09713363647461,25.230737686157227
2010-01-26,37.57481002807617,25.073896408081055
2010-01-27,35.95340347290039,25.255821228027344
2010-01-28,34.89042282104492,24.979806900024414
2010-01-29,35.14605712890625,24.23956871032715
2010-02-01,35.61700439453125,24.6975154876709
2010-02-02,36.027408599853516,24.79161262512207
2010-02-03,35.919769287109375,24.597145080566406
2010-02-04,34.58094024658203,23.668712615966797
2010-02-05,34.81640625,23.5056095123291
2010-02-08,34.16379928588867,23.12921714782715
2010-02-09,36.01396560668945,23.72517204284668
2010-02-10,35.758296966552734,23.662433624267578
2010-02-11,37.776641845703125,23.982372283935547
2010-02-12,37.810272216796875,23.750272750854492
2010-02-16,38.42923355102539,24.415224075317383
2010-02-17,38.684898376464844,24.714269638061523
2010-02-18,38.89346694946289,25.194766998291016
2010-02-19,39.18947982788086,25.428699493408203
2010-02-22,39.041481018066406,25.384450912475586
2010-02-23,38.119789123535156,25.245359420776367
2010-02-24,38.321598052978516,25.65630531311035
2010-02-25,38.207218170166016,25.409730911254883
2010-02-26,38.38214111328125,25.390762329101562
2010-03-01,38.920372009277344,25.649988174438477
2010-03-02,39.12220764160156,25.719526290893555
2010-03-03,39.404762268066406,25.871273040771484
2010-03-04,39.324031829833984,26.035648345947266
2010-03-05,39.84879684448242,26.497182846069336
2010-03-08,39.633506774902344,26.23164176940918
2010-03-09,39.815162658691406,26.724794387817383
2010-03-10,39.54605484008789,26.76906967163086
2010-03-11,39.62677764892578,26.946083068847656
2010-03-12,40.609039306640625,27.142074584960938
2010-03-15,40.010276794433594,27.167362213134766
2010-03-16,39.996822357177734,27.205297470092773
2010-03-17,40.514854431152344,27.12942886352539
2010-03-18,40.21210861206055,27.458181381225586
2010-03-19,39.94298553466797,27.70476531982422
2010-03-22,40.33320617675781,27.540386199951172
2010-03-23,41.98824691772461,27.938703536987305
2010-03-24,41.75277328491211,28.12206268310547
2010-03-25,41.806583404541016,28.033525466918945
2010-03-26,42.00843048095703,28.19791603088379
2010-03-29,42.708126068115234,28.36862564086914
2010-03-30,42.492828369140625,28.41919708251953
2010-03-31,42.284271240234375,28.62151336669922
2010-04-01,43.05123519897461,28.469770431518555
2010-04-05,43.72400665283203,28.73531150817871
2010-04-06,43.92585754394531,28.741634368896484
2010-04-07,43.37419128417969,28.608861923217773
2010-04-08,43.380897521972656,28.76060676574707
2010-04-09,43.91240692138672,28.937633514404297
2010-04-12,44.89466857910156,29.07672119140625
2010-04-13,44.531368255615234,28.86808967590332
2010-04-14,45.264671325683594,29.291688919067383
2010-04-15,45.89710998535156,29.380199432373047
2010-04-16,44.99557876586914,28.96924591064453
2010-04-19,45.069580078125,28.924985885620117
2010-04-20,45.412696838378906,29.32329750061035
2010-04-21,45.580894470214844,29.519298553466797
2010-04-22,45.7027473449707,29.993465423583984
2010-04-23,46.56250762939453,30.170495986938477
2010-04-26,48.50543975830078,30.518232345581055
2010-04-27,46.39326858520508,29.677364349365234
2010-04-28,46.691139221191406,29.746902465820312
2010-04-29,47.896156311035156,30.676292419433594
2010-04-30,46.09539794921875,30.0124454498291
2010-05-03,47.347801208496094,30.66997528076172
2010-05-04,45.1544075012207,29.626773834228516
2010-05-05,44.6534309387207,29.007183074951172
2010-05-06,42.988067626953125,28.008241653442383
2010-05-07,42.04030227661133,27.51508331298828
2010-05-10,45.147621154785156,29.127307891845703
2010-05-11,44.72789001464844,28.988218307495117
2010-05-12,46.13602066040039,29.633092880249023
2010-05-13,45.29658508300781,29.203176498413086
2010-05-14,43.922306060791016,28.75428581237793
2010-05-17,43.17761993408203,28.72899627685547
2010-05-18,42.77819061279297,28.46357536315918
2010-05-19,41.59349060058594,27.91620445251465
2010-05-20,39.718284606933594,26.598690032958984
2010-05-21,40.67957305908203,26.776891708374023
2010-05-24,40.090614318847656,26.63050079345703
2010-05-25,40.08383560180664,26.598690032958984
2010-05-26,40.435855865478516,26.80236053466797
2010-05-27,42.01321792602539,27.636154174804688
2010-05-28,41.13314437866211,27.22243309020996
2010-06-01,40.12446212768555,26.6686954498291
2010-06-02,41.20085906982422,27.32427406311035
2010-06-03,41.37009811401367,27.534313201904297
2010-06-04,39.102210998535156,26.140411376953125
2010-06-07,37.795654296875,25.459379196166992
2010-06-08,38.32368850708008,25.733055114746094
2010-06-09,38.459110260009766,25.46573829650879
2010-06-10,40.58480453491211,26.261341094970703
2010-06-11,40.774356842041016,26.299537658691406
2010-06-14,41.29562759399414,26.433197021484375
2010-06-15,42.960975646972656,27.394283294677734
2010-06-16,43.590579986572266,27.2097110748291
2010-06-17,43.969688415527344,27.14606285095215
2010-06-18,44.57896041870117,27.31790542602539
2010-06-21,44.72789001464844,27.32427406311035
2010-06-22,43.401039123535156,26.85964584350586
2010-06-23,43.54996871948242,26.63050079345703
2010-06-24,42.900062561035156,26.09585952758789
2010-06-25,43.80721664428711,26.477745056152344
2010-06-28,43.59733963012695,26.223148345947266
2010-06-29,41.19407272338867,25.032928466796875
2010-06-30,40.66603469848633,24.84198570251465
2010-07-01,40.59833908081055,24.536470413208008
2010-07-02,40.06352615356445,24.52374267578125
2010-07-06,40.49002456665039,24.638317108154297
2010-07-07,42.09446334838867,25.58030891418457
2010-07-08,42.764671325683594,25.92401123046875
2010-07-09,43.814002990722656,26.267715454101562
2010-07-12,43.51611328125,25.98129653930664
2010-07-13,45.21532440185547,26.636873245239258
2010-07-14,45.1544075012207,26.5350284576416
2010-07-15,45.025787353515625,26.598690032958984
2010-07-16,43.57419204711914,25.58030891418457
2010-07-19,44.160282135009766,25.68214225769043
2010-07-20,45.27109146118164,26.223148345947266
2010-07-21,45.57094955444336,26.178607940673828
2010-07-22,46.34104537963867,27.152435302734375
2010-07-23,47.233795166015625,27.687074661254883
2010-07-26,47.697200775146484,27.9352970123291
2010-07-27,47.14521026611328,27.642505645751953
2010-07-28,47.5131950378418,27.521589279174805
2010-07-29,47.29512405395508,27.19061851501465
2010-07-30,47.53364181518555,27.27971839904785
2010-08-02,48.41958236694336,27.83345603942871
2010-08-03,47.95615768432617,27.457942962646484
2010-08-04,48.467288970947266,27.992578506469727
2010-08-05,49.03972244262695,28.081695556640625
2010-08-06,48.76712417602539,27.858917236328125
2010-08-09,49.11470031738281,27.9352970123291
2010-08-10,48.67172622680664,27.636154174804688
2010-08-11,46.82489776611328,26.611413955688477
2010-08-12,46.000301361083984,26.280433654785156
2010-08-13,46.34784698486328,26.299537658691406
2010-08-16,46.674957275390625,26.210424423217773
2010-08-17,47.526817321777344,26.980562210083008
2010-08-18,47.53364181518555,27.02736473083496
2010-08-19,47.220157623291016,26.13628578186035
2010-08-20,46.9271240234375,26.05295753479004
2010-08-23,45.55050277709961,25.7452335357666
2010-08-24,44.323848724365234,25.21957015991211
2010-08-25,44.092124938964844,24.886207580566406
2010-08-26,43.581016540527344,24.809276580810547
2010-08-27,44.909912109375,25.418304443359375
2010-08-30,43.93540954589844,24.91185188293457
2010-08-31,44.40562057495117,25.040069580078125
2010-09-01,46.4500732421875,26.206815719604492
2010-09-02,46.709049224853516,26.931215286254883
2010-09-03,47.75852966308594,27.45046615600586
2010-09-07,47.49957275390625,26.879934310913086
2010-09-08,48.208290100097656,27.046600341796875
2010-09-09,48.14016342163086,26.905563354492188
2010-09-10,48.56269836425781,27.444063186645508
2010-09-13,49.23054885864258,27.758182525634766
