date,XLF
2010-01-04,8.911171913146973
2010-01-05,9.074958801269531
2010-01-06,9.093154907226562
2010-01-07,9.287272453308105
2010-01-08,9.232678413391113
2010-01-11,9.238743782043457
2010-01-12,9.105289459228516
2010-01-13,9.20841121673584
2010-01-14,9.250871658325195
2010-01-15,9.062823295593262
2010-01-19,9.178085327148438
2010-01-20,9.15381908416748
2010-01-21,8.892975807189941
2010-01-22,8.601798057556152
2010-01-25,8.650327682495117
2010-01-26,8.498675346374512
2010-01-27,8.704922676086426
2010-01-28,8.662459373474121
2010-01-29,8.601798057556152
2010-02-01,8.747387886047363
2010-02-02,8.832314491271973
2010-02-03,8.735254287719727
2010-02-04,8.35915470123291
2010-02-05,8.456212997436523
2010-02-08,8.286360740661621
2010-02-09,8.371285438537598
2010-02-10,8.438013076782227
2010-02-11,8.456212997436523
2010-02-12,8.462278366088867
2010-02-16,8.63819694519043
2010-02-17,8.668527603149414
2010-02-18,8.723125457763672
2010-02-19,8.771652221679688
2010-02-22,8.886911392211914
2010-02-23,8.723125457763672
2010-02-24,8.87477970123291
2010-02-25,8.85051155090332
2010-02-26,8.905106544494629
2010-03-01,8.929370880126953
2010-03-02,8.95970630645752
2010-03-03,8.965768814086914
2010-03-04,9.0567626953125
2010-03-05,9.232678413391113
2010-03-08,9.250871658325195
2010-03-09,9.281208038330078
2010-03-10,9.384331703186035
2010-03-11,9.463193893432617
2010-03-12,9.426794052124023
2010-03-15,9.426794052124023
2010-03-16,9.542052268981934
2010-03-17,9.65731143951416
2010-03-18,9.60271167755127
2010-03-19,9.539484024047852
2010-03-22,9.58812427520752
2010-03-23,9.66716194152832
2010-03-24,9.673239707946777
2010-03-25,9.715800285339355
2010-03-26,9.727961540222168
2010-03-29,9.74012279510498
2010-03-30,9.679323196411133
2010-03-31,9.697562217712402
2010-04-01,9.776601791381836
2010-04-05,9.873878479003906
2010-04-06,9.977239608764648
2010-04-07,9.940756797790527
2010-04-08,10.019796371459961
2010-04-09,10.056282043457031
2010-04-12,10.098841667175293
2010-04-13,10.104923248291016
2010-04-14,10.366360664367676
2010-04-15,10.323799133300781
2010-04-16,9.946844100952148
2010-04-19,10.044121742248535
2010-04-20,10.177882194519043
2010-04-21,10.11707878112793
2010-04-22,10.171801567077637
2010-04-23,10.202200889587402
2010-04-26,10.044121742248535
2010-04-27,9.703638076782227
2010-04-28,9.843483924865723
2010-04-29,10.068437576293945
2010-04-30,9.825239181518555
2010-05-03,10.01372241973877
2010-05-04,9.74012279510498
2010-05-05,9.685401916503906
2010-05-06,9.278043746948242
2010-05-07,9.174684524536133
2010-05-10,9.685401916503906
2010-05-11,9.648926734924316
2010-05-12,9.758360862731934
2010-05-13,9.582045555114746
2010-05-14,9.332764625549316
2010-05-17,9.33884334564209
2010-05-18,9.071321487426758
2010-05-19,9.083484649658203
2010-05-20,8.663969993591309
2010-05-21,8.96796703338623
2010-05-24,8.712606430053711
2010-05-25,8.791646003723145
2010-05-26,8.730846405029297
2010-05-27,9.126046180725098
2010-05-28,8.925402641296387
2010-06-01,8.736924171447754
2010-06-02,9.010523796081543
2010-06-03,8.961885452270508
2010-06-04,8.603166580200195
2010-06-07,8.432924270629883
2010-06-08,8.609244346618652
2010-06-09,8.518044471740723
2010-06-10,8.797721862792969
2010-06-11,8.822046279907227
2010-06-14,8.785565376281738
2010-06-15,8.992287635803223
2010-06-16,8.998364448547363
2010-06-17,8.9862060546875
2010-06-18,9.035555839538574
2010-06-21,9.0233736038208
2010-06-22,8.883237838745117
2010-06-23,8.840585708618164
2010-06-24,8.682177543640137
2010-06-25,8.919794082641602
2010-06-28,8.834497451782227
2010-06-29,8.517674446105957
2010-06-30,8.414094924926758
2010-07-01,8.334887504577637
2010-07-02,8.237406730651855
2010-07-06,8.286147117614746
2010-07-07,8.651714324951172
2010-07-08,8.718733787536621
2010-07-09,8.840585708618164
2010-07-12,8.852776527404785
2010-07-13,9.072112083435059
2010-07-14,9.005090713500977
2010-07-15,8.986812591552734
2010-07-16,8.609063148498535
2010-07-19,8.602972984313965
2010-07-20,8.694360733032227
2010-07-21,8.55422592163086
2010-07-22,8.804032325744629
2010-07-23,8.871051788330078
2010-07-26,8.992905616760254
2010-07-27,9.017278671264648
2010-07-28,8.938070297241211
2010-07-29,8.968537330627441
2010-07-30,8.962442398071289
2010-08-02,9.187874794006348
2010-08-03,9.084297180175781
2010-08-04,9.120855331420898
2010-08-05,9.084297180175781
2010-08-06,9.005090713500977
2010-08-09,9.053837776184082
2010-08-10,8.974625587463379
2010-08-11,8.65780258178711
2010-08-12,8.596878051757812
2010-08-13,8.572509765625
2010-08-16,8.548131942749023
2010-08-17,8.615158081054688
2010-08-18,8.651714324951172
2010-08-19,8.450651168823242
2010-08-20,8.426281929016113
2010-08-23,8.37144947052002
2010-08-24,8.23131275177002
2010-08-25,8.255682945251465
2010-08-26,8.1886625289917
2010-08-27,8.365355491638184
2010-08-30,8.1886625289917
2010-08-31,8.261775970458984
2010-09-01,8.578598022460938
2010-09-02,8.663896560668945
2010-09-03,8.8466796875
2010-09-07,8.645617485046387
2010-09-08,8.730916976928711
2010-09-09,8.840585708618164
2010-09-10,8.852776527404785
2010-09-13,9.041646957397461
2010-09-14,8.962442398071289
2010-09-15,8.992905616760254
2010-09-16,8.968537330627441
2010-09-17,8.921512603759766
2010-09-20,9.09249496459961
2010-09-21,9.007007598876953
2010-09-22,8.860452651977539
2010-09-23,8.689470291137695
2010-09-24,8.921512603759766
2010-09-27,8.823813438415527
2010-09-28,8.842133522033691
2010-09-29,8.774962425231934
2010-09-30,8.762744903564453
2010-10-01,8.854341506958008
2010-10-04,8.793282508850098
2010-10-05,8.994792938232422
2010-10-06,8.988689422607422
2010-10-07,8.952047348022461
2010-10-08,8.976473808288574
2010-10-11,8.964261054992676
2010-10-12,9.068071365356445
2010-10-13,9.074178695678711
2010-10-14,8.915409088134766
2010-10-15,8.762744903564453
2010-10-18,8.958155632019043
2010-10-19,8.836023330688477
2010-10-20,8.921512603759766
2010-10-21,8.921512603759766
2010-10-22,8.915409088134766
2010-10-25,8.88487720489502
2010-10-26,8.897088050842285
2010-10-27,8.903193473815918
2010-10-28,8.903193473815918
2010-10-29,8.890985488891602
2010-11-01,8.890985488891602
2010-11-02,8.915409088134766
2010-11-03,9.000898361206055
2010-11-04,9.300116539001465
2010-11-05,9.513840675354004
2010-11-08,9.44056510925293
2010-11-09,9.26347541809082
2010-11-10,9.367286682128906
2010-11-11,9.275690078735352
2010-11-12,9.123027801513672
2010-11-15,9.165775299072266
2010-11-16,9.013111114501953
2010-11-17,8.952047348022461
2010-11-18,9.074178695678711
2010-11-19,9.074178695678711
2010-11-22,8.939830780029297
2010-11-23,8.79939079284668
2010-11-24,8.933730125427246
2010-11-26,8.805490493774414
2010-11-29,8.878769874572754
2010-11-30,8.829919815063477
2010-12-01,9.007007598876953
2010-12-02,9.239047050476074
2010-12-03,9.269586563110352
2010-12-06,9.257370948791504
2010-12-07,9.269586563110352
2010-12-08,9.4222412109375
2010-12-09,9.538270950317383
2010-12-10,9.62375545501709
2010-12-13,9.617650032043457
2010-12-14,9.532157897949219
2010-12-15,9.452773094177246
2010-12-16,9.464987754821777
2010-12-17,9.517695426940918
2010-12-20,9.523821830749512
2010-12-21,9.689295768737793
2010-12-22,9.799609184265137
2010-12-23,9.726066589355469
2010-12-27,9.811866760253906
2010-12-28,9.811866760253906
2010-12-29,9.79348087310791
2010-12-30,9.762838363647461
2010-12-31,9.77509880065918
2011-01-03,9.989595413208008
2011-01-04,9.977339744567871
2011-01-05,10.093781471252441
2011-01-06,10.026368141174316
2011-01-07,9.940564155578613
2011-01-10,9.91605281829834
2011-01-11,9.952824592590332
2011-01-12,10.118302345275879
2011-01-13,10.087653160095215
2011-01-14,10.246996879577637
2011-01-18,10.185709953308105
2011-01-19,9.958953857421875
2011-01-20,10.007986068725586
2011-01-21,10.087653160095215
2011-01-24,10.075393676757812
2011-01-25,10.05700969696045
2011-01-26,10.050881385803223
2011-01-27,10.136680603027344
2011-01-28,9.958953857421875
2011-01-31,10.050881385803223
2011-02-01,10.259252548217773
2011-02-02,10.179583549499512
2011-02-03,10.185709953308105
2011-02-04,10.179583549499512
2011-02-07,10.326666831970215
2011-02-08,10.400211334228516
2011-02-09,10.326666831970215
2011-02-10,10.326666831970215
2011-02-11,10.467623710632324
2011-02-14,10.473752975463867
2011-02-15,10.461496353149414
2011-02-16,10.516654014587402
2011-02-17,10.50439739227295
2011-02-18,10.528915405273438
2011-02-22,10.204094886779785
2011-02-23,10.161197662353516
2011-02-24,10.136680603027344
2011-02-25,10.277639389038086
2011-02-28,10.326666831970215
2011-03-01,10.106039047241211
2011-03-02,10.044753074645996
2011-03-03,10.253127098083496
2011-03-04,10.124429702758789
2011-03-07,10.05700969696045
2011-03-08,10.277639389038086
2011-03-09,10.277639389038086
2011-03-10,10.069266319274902
2011-03-11,10.136680603027344
2011-03-14,10.044753074645996
2011-03-15,9.928309440612793
2011-03-16,9.744453430175781
2011-03-17,9.860895156860352
2011-03-18,9.997305870056152
2011-03-21,10.046463966369629
2011-03-22,9.991161346435547
2011-03-23,9.966581344604492
2011-03-24,10.015739440917969
2011-03-25,10.040318489074707
2011-03-28,10.009597778320312
2011-03-29,10.028029441833496
2011-03-30,10.107911109924316
2011-03-31,10.071043014526367
2011-04-01,10.157069206237793
2011-04-04,10.144780158996582
2011-04-05,10.138635635375977
2011-04-06,10.255380630493164
2011-04-07,10.206226348876953
2011-04-08,10.114055633544922
2011-04-11,10.114055633544922
2011-04-12,10.077190399169922
2011-04-13,10.00345230102539
2011-04-14,9.91127872467041
2011-04-15,9.9174222946167
2011-04-18,9.782245635986328
2011-04-19,9.812968254089355
2011-04-20,9.837545394897461
2011-04-21,9.89284610748291
2011-04-25,9.880559921264648
2011-04-26,9.94200611114502
2011-04-27,10.00345230102539
2011-04-28,10.083329200744629
2011-04-29,10.064894676208496
2011-05-02,10.021885871887207
2011-05-03,10.064894676208496
2011-05-04,9.978873252868652
2011-05-05,9.849832534790039
2011-05-06,9.898992538452148
2011-05-09,9.874415397644043
2011-05-10,9.966581344604492
2011-05-11,9.831402778625488
2011-05-12,9.831402778625488
2011-05-13,9.69007396697998
2011-05-16,9.67778491973877
