date,QCOM,CRM
2010-01-04,31.051464080810547,18.434350967407227
2010-01-05,31.798980712890625,18.355510711669922
2010-01-06,31.488067626953125,18.323482513427734
2010-01-07,32.40095901489258,18.24217414855957
2010-01-08,32.72509765625,18.26927947998047
2010-01-11,32.60601806640625,18.146087646484375
2010-01-12,32.076820373535156,16.825475692749023
2010-01-13,32.21573257446289,16.877216339111328
2010-01-14,31.997438430786133,17.04722023010254
2010-01-15,32.103275299072266,16.909244537353516
2010-01-19,32.6258659362793,17.123598098754883
2010-01-20,31.984193801879883,16.88953399658203
2010-01-21,31.812206268310547,16.47807502746582
2010-01-22,30.945621490478516,15.90153980255127
2010-01-25,31.031627655029297,15.800520896911621
2010-01-26,31.01841163635254,16.11589241027832
2010-01-27,31.223453521728516,16.113428115844727
2010-01-28,26.77808380126953,15.807915687561035
2010-01-29,25.924732208251953,15.65761947631836
2010-02-01,26.30841064453125,16.059226989746094
2010-02-02,25.97104835510254,16.029659271240234
2010-02-03,26.215803146362305,16.167634963989258
2010-02-04,25.249988555908203,15.381672859191895
2010-02-05,25.164005279541016,15.295439720153809
2010-02-08,24.813386917114258,15.305293083190918
2010-02-09,25.07801055908203,15.931107521057129
2010-02-10,24.760475158691406,15.948354721069336
2010-02-11,25.144153594970703,16.25140380859375
2010-02-12,25.693212509155273,16.037050247192383
2010-02-16,25.81227684020996,16.31053352355957
2010-02-17,26.08350944519043,16.453439712524414
2010-02-18,26.33487892150879,16.86489486694336
2010-02-19,26.18933868408203,16.980695724487305
2010-02-22,25.80565643310547,17.01026153564453
2010-02-23,25.494754791259766,16.813154220581055
2010-02-24,25.162540435791016,17.10881233215332
2010-02-25,24.704063415527344,16.756488800048828
2010-02-26,24.371843338012695,16.741701126098633
2010-03-01,23.627662658691406,17.46853256225586
2010-03-02,25.2023983001709,17.700130462646484
2010-03-03,25.707374572753906,17.387226104736328
2010-03-04,26.0794734954834,17.466068267822266
2010-03-05,25.75388526916504,17.80854034423828
2010-03-08,25.77382469177246,17.973617553710938
