date,LLY,JNJ
2010-01-04,23.40860366821289,39.97481155395508
2010-01-05,22.996898651123047,39.51129150390625
2010-01-06,23.16681480407715,39.83266067504883
2010-01-07,23.049177169799805,39.548370361328125
2010-01-08,22.87272834777832,39.68434143066406
2010-01-11,23.186410903930664,39.690513610839844
2010-01-12,23.107995986938477,39.900634765625
2010-01-13,23.4282169342041,40.1540412902832
2010-01-14,23.5262393951416,40.23439407348633
2010-01-15,23.40860366821289,39.900634765625
2010-01-19,24.447683334350586,40.38888931274414
2010-01-20,24.375791549682617,40.26529312133789
2010-01-21,23.598127365112305,39.536014556884766
2010-01-22,23.212547302246094,39.06011962890625
2010-01-25,23.36285972595215,39.07247543334961
2010-01-26,23.63079261779785,38.80671691894531
2010-01-27,23.781099319458008,39.20844650268555
2010-01-28,23.36285972595215,39.430931091308594
2010-01-29,23.00342559814453,38.8499755859375
2010-02-01,22.87272834777832,38.99213790893555
2010-02-02,23.277896881103516,39.548370361328125
2010-02-03,23.0753173828125,39.325870513916016
2010-02-04,22.657068252563477,38.71403121948242
2010-02-05,22.559045791625977,38.71403121948242
2010-02-08,22.728961944580078,38.54713821411133
2010-02-09,23.00342559814453,38.78817367553711
2010-02-10,22.645553588867188,38.769615173339844
2010-02-11,22.645553588867188,38.880882263183594
2010-02-12,22.499753952026367,38.76346206665039
2010-02-16,22.58591079711914,39.31351089477539
2010-02-17,22.791349411010742,39.54218673706055
2010-02-18,22.804609298706055,39.88210678100586
2010-02-19,22.69194793701172,39.73887252807617
2010-02-22,22.844377517700195,39.53958511352539
2010-02-23,22.506378173828125,39.4274787902832
2010-02-24,22.559402465820312,39.51468276977539
2010-02-25,22.69194793701172,39.4088134765625
2010-02-26,22.758216857910156,39.23442840576172
2010-03-01,22.744970321655273,39.477317810058594
2010-03-02,22.897396087646484,39.508453369140625
2010-03-03,22.744970321655273,39.48353576660156
2010-03-04,22.890764236450195,39.58940505981445
2010-03-05,23.25527000427246,39.88212585449219
2010-03-08,23.149227142333984,39.98173904418945
2010-03-09,23.235383987426758,40.025352478027344
2010-03-10,23.42095947265625,40.037803649902344
