date,HD,LOW
2010-01-04,19.29707145690918,17.131261825561523
2010-01-05,19.43842315673828,16.953733444213867
2010-01-06,19.371112823486328,16.99811553955078
2010-01-07,19.59996223449707,17.48630714416504
2010-01-08,19.505727767944336,17.449325561523438
2010-01-11,18.95380401611328,17.301382064819336
2010-01-12,18.83264923095703,17.257001876831055
2010-01-13,18.933618545532227,17.175634384155273
2010-01-14,19.048032760620117,17.153453826904297
2010-01-15,19.229768753051758,17.175724029541016
2010-01-19,19.43842315673828,17.160879135131836
2010-01-20,19.290342330932617,16.930679321289062
2010-01-21,19.169193267822266,16.99750328063965
2010-01-22,18.65764617919922,16.566818237304688
2010-01-25,18.590341567993164,16.425729751586914
2010-01-26,18.664384841918945,16.30691146850586
2010-01-27,18.73842430114746,16.425729751586914
2010-01-28,18.401878356933594,16.32176399230957
2010-01-29,18.852846145629883,16.076717376708984
2010-02-01,19.10860824584961,16.32919692993164
2010-02-02,19.539379119873047,16.767316818237305
2010-02-03,19.162460327148438,16.418298721313477
2010-02-04,18.798995971679688,16.039588928222656
2010-02-05,18.83264923095703,16.032167434692383
2010-02-08,19.243227005004883,16.158397674560547
2010-02-09,19.43169403076172,16.21780776977539
2010-02-10,19.28360939025879,16.188100814819336
2010-02-11,19.512453079223633,16.462848663330078
2010-02-12,19.519187927246094,16.455432891845703
2010-02-16,19.815340042114258,16.88612174987793
2010-02-17,20.205724716186523,17.116310119628906
2010-02-18,20.39418601989746,17.190570831298828
2010-02-19,20.293228149414062,17.175724029541016
2010-02-22,20.40764808654785,17.13117218017578
2010-02-23,20.69706916809082,16.938093185424805
2010-02-24,21.107654571533203,17.55443572998047
2010-02-25,21.107654571533203,17.688098907470703
2010-02-26,20.999958038330078,17.60641098022461
2010-03-01,21.15476417541504,17.806915283203125
2010-03-02,21.107654571533203,17.591569900512695
2010-03-03,21.18168067932129,17.53957748413086
2010-03-04,21.161487579345703,17.665815353393555
2010-03-05,21.4038028717041,17.85889434814453
2010-03-08,21.511493682861328,17.784631729125977
2010-03-09,21.481658935546875,17.829187393188477
2010-03-10,21.502002716064453,18.037120819091797
2010-03-11,21.786792755126953,18.259878158569336
2010-03-12,22.003780364990234,18.527212142944336
2010-03-15,22.166522979736328,18.594043731689453
2010-03-16,22.07158851623535,18.601469039916992
2010-03-17,22.051254272460938,18.683155059814453
2010-03-18,21.969879150390625,18.490081787109375
2010-03-19,21.9427547454834,18.400976181030273
2010-03-22,22.152956008911133,18.497501373291016
2010-03-23,22.098712921142578,18.43810272216797
2010-03-24,21.91562843322754,18.103952407836914
2010-03-25,22.11905288696289,18.074237823486328
2010-03-26,22.207204818725586,18.178205490112305
2010-03-29,22.10550308227539,18.051965713500977
2010-03-30,22.166522979736328,18.074237823486328
2010-03-31,21.93597984313965,17.999980926513672
2010-04-01,21.95631217956543,18.222759246826172
2010-04-05,22.14617919921875,18.467803955078125
2010-04-06,22.07158851623535,18.549484252929688
2010-04-07,22.112276077270508,18.749980926513672
2010-04-08,22.35638427734375,19.002456665039062
2010-04-09,22.546245574951172,19.03216552734375
