Date,XLV
2010-01-04,23.984846115112305
2010-01-05,23.74962615966797
2010-01-06,23.9924373626709
2010-01-07,24.075899124145508
2010-01-08,24.113845825195312
2010-01-11,24.250417709350586
2010-01-12,24.075899124145508
2010-01-13,24.39458656311035
2010-01-14,24.61463165283203
2010-01-15,24.44769859313965
2010-01-19,25.03954315185547
2010-01-20,24.827089309692383
2010-01-21,24.28835678100586
2010-01-22,24.022777557373047
2010-01-25,24.022777557373047
2010-01-26,23.88620948791504
2010-01-27,24.053138732910156
2010-01-28,23.901384353637695
2010-01-29,23.734451293945312
2010-02-01,23.871028900146484
2010-02-02,24.36423683166504
2010-02-03,24.03795623779297
2010-02-04,23.430936813354492
2010-02-05,23.39300537109375
2010-02-08,23.279186248779297
2010-02-09,23.461294174194336
2010-02-10,23.317123413085938
2010-02-11,23.476472854614258
2010-02-12,23.423349380493164
2010-02-16,23.628225326538086
2010-02-17,23.81032371520996
2010-02-18,23.92414093017578
2010-02-19,23.92414093017578
2010-02-22,23.85585594177246
2010-02-23,23.628225326538086
2010-02-24,23.802745819091797
2010-02-25,23.817922592163086
2010-02-26,23.82550811767578
2010-03-01,24.053138732910156
2010-03-02,24.1366024017334
2010-03-03,24.03795623779297
2010-03-04,23.962080001831055
2010-03-05,24.295944213867188
2010-03-08,24.151779174804688
2010-03-09,24.1366024017334
2010-03-10,24.151779174804688
2010-03-11,24.34147071838379
2010-03-12,24.15936279296875
2010-03-15,24.31870460510254
2010-03-16,24.387006759643555
2010-03-17,24.39458656311035
2010-03-18,24.561519622802734
2010-03-19,24.552377700805664
2010-03-22,24.71225929260254
2010-03-23,24.834068298339844
2010-03-24,24.567611694335938
2010-03-25,24.468645095825195
2010-03-26,24.285913467407227
2010-03-29,24.54476547241211
2010-03-30,24.54476547241211
2010-03-31,24.461021423339844
2010-04-01,24.598058700561523
2010-04-05,24.529539108276367
2010-04-06,24.514310836791992
2010-04-07,24.4077205657959
2010-04-08,24.31637191772461
2010-04-09,24.422954559326172
2010-04-12,24.35443878173828
2010-04-13,24.37727928161621
2010-04-14,24.293533325195312
2010-04-15,24.225013732910156
2010-04-16,24.08036231994629
2010-04-19,24.27829933166504
2010-04-20,24.33159828186035
2010-04-21,23.90526580810547
2010-04-22,23.631193161010742
2010-04-23,23.867202758789062
2010-04-26,23.615962982177734
2010-04-27,23.341890335083008
2010-04-28,23.49415397644043
2010-04-29,23.813905715942383
2010-04-30,23.509376525878906
2010-05-03,23.623579025268555
2010-05-04,23.48653793334961
2010-05-05,23.56267738342285
2010-05-06,22.930784225463867
2010-05-07,22.62625503540039
2010-05-10,23.23530387878418
2010-05-11,23.18963050842285
2010-05-12,23.379953384399414
2010-05-13,23.128721237182617
2010-05-14,22.81658935546875
2010-05-17,22.81658935546875
2010-05-18,22.63387680053711
2010-05-19,22.580585479736328
2010-05-20,21.87255096435547
2010-05-21,21.925844192504883
2010-05-24,21.87255096435547
2010-05-25,21.78119659423828
2010-05-26,21.644155502319336
2010-05-27,22.085723876953125
2010-05-28,21.979141235351562
2010-06-01,21.735517501831055
2010-06-02,22.207536697387695
2010-06-03,22.336956024169922
2010-06-04,21.682220458984375
2010-06-07,21.651775360107422
2010-06-08,21.705066680908203
2010-06-09,21.606098175048828
2010-06-10,22.0172119140625
2010-06-11,22.199922561645508
2010-06-14,22.23798942565918
2010-06-15,22.61864471435547
2010-06-16,22.70238494873047
2010-06-17,22.732839584350586
2010-06-18,22.611169815063477
2010-06-21,22.572917938232422
2010-06-22,22.351011276245117
2010-06-23,22.25919532775879
2010-06-24,22.098499298095703
2010-06-25,22.197969436645508
2010-06-28,22.159709930419922
2010-06-29,21.75417137145996
2010-06-30,21.57818031311035
2010-07-01,21.394533157348633
2010-07-02,21.448097229003906
2010-07-06,21.555219650268555
2010-07-07,21.976072311401367
2010-07-08,22.159709930419922
2010-07-09,22.213275909423828
2010-07-12,22.17502784729004
