date,XLY
2000-01-03,11.151032447814941
2000-01-04,10.815572738647461
2000-01-05,10.682548522949219
2000-01-06,10.804010391235352
2000-01-07,11.312975883483887
2000-01-10,11.255138397216797
2000-01-11,11.191516876220703
2000-01-12,11.127894401550293
2000-01-13,11.185731887817383
2000-01-14,11.156816482543945
2000-01-18,11.093195915222168
2000-01-19,11.070060729980469
2000-01-20,10.919683456420898
2000-01-21,10.694120407104492
2000-01-24,10.295045852661133
2000-01-25,10.358661651611328
2000-01-26,10.433845520019531
2000-01-27,10.404929161071777
2000-01-28,9.99428653717041
2000-01-31,10.069474220275879
2000-02-01,10.433845520019531
2000-02-02,10.364445686340332
2000-02-03,10.404929161071777
2000-02-04,10.387579917907715
2000-02-07,10.167799949645996
2000-02-08,10.399144172668457
2000-02-09,10.225634574890137
2000-02-10,10.133097648620605
2000-02-11,9.988499641418457
2000-02-14,10.040555953979492
2000-02-15,10.063694953918457
2000-02-16,9.67039680480957
2000-02-17,9.392781257629395
2000-02-18,9.253968238830566
2000-02-22,9.27710247039795
2000-02-23,9.248185157775879
2000-02-24,8.95321273803711
2000-02-25,8.987922668457031
2000-02-28,9.311805725097656
2000-02-29,9.508452415466309
2000-03-01,9.3985595703125
2000-03-02,9.386996269226074
2000-03-03,9.560504913330078
2000-03-06,9.334936141967773
2000-03-07,9.07467269897461
2000-03-08,9.184564590454102
2000-03-09,9.369646072387695
2000-03-10,9.242403030395508
2000-03-13,9.16720962524414
2000-03-14,9.184564590454102
2000-03-15,9.739798545837402
2000-03-16,10.456979751586914
2000-03-17,10.483182907104492
2000-03-20,10.384661674499512
2000-03-21,10.500566482543945
2000-03-22,10.454200744628906
2000-03-23,10.483182907104492
2000-03-24,10.517945289611816
2000-03-27,10.48897647857666
2000-03-28,10.523743629455566
2000-03-29,10.732365608215332
2000-03-30,10.969961166381836
2000-03-31,10.854057312011719
2000-04-03,11.178582191467285
2000-04-04,11.039496421813965
2000-04-05,11.05688190460205
2000-04-06,11.172786712646484
2000-04-07,11.172786712646484
2000-04-10,11.43355941772461
2000-04-11,11.514690399169922
2000-04-12,11.4915132522583
2000-04-13,11.277094841003418
2000-04-14,10.384661674499512
2000-04-17,10.396254539489746
2000-04-18,10.616459846496582
2000-04-19,10.697591781616211
2000-04-20,10.836673736572266
2000-04-24,10.952573776245117
2000-04-25,11.149599075317383
2000-04-26,11.138014793395996
2000-04-27,10.906214714050293
2000-04-28,10.628058433532715
2000-05-01,10.952573776245117
2000-05-02,10.877239227294922
2000-05-03,10.361485481262207
2000-05-04,10.193428039550781
2000-05-05,10.320918083190918
2000-05-08,10.291943550109863
2000-05-09,10.396254539489746
2000-05-10,10.396254539489746
2000-05-11,10.48897647857666
2000-05-12,10.639643669128418
2000-05-15,10.67441177368164
2000-05-16,10.75554370880127
2000-05-17,10.500566482543945
2000-05-18,10.709183692932129
2000-05-19,10.436819076538086
2000-05-22,10.280354499816895
2000-05-23,10.233990669250488
2000-05-24,10.04854965209961
2000-05-25,9.955830574035645
2000-05-26,9.747213363647461
2000-05-30,9.822549819946289
2000-05-31,10.05434799194336
2000-06-01,10.129683494567871
2000-06-02,10.407843589782715
2000-06-05,10.349889755249023
2000-06-06,10.019580841064453
2000-06-07,10.019580841064453
2000-06-08,9.921061515808105
2000-06-09,9.758800506591797
2000-06-12,9.51541519165039
2000-06-13,9.700850486755371
2000-06-14,9.735623359680176
2000-06-15,9.712442398071289
2000-06-16,9.603285789489746
2000-06-19,9.591673851013184
2000-06-20,9.382658958435059
2000-06-21,9.318787574768066
2000-06-22,9.278145790100098
2000-06-23,9.336201667785645
2000-06-26,9.336201667785645
2000-06-27,9.603285789489746
2000-06-28,9.568450927734375
2000-06-29,9.405881881713867
2000-06-30,9.510387420654297
2000-07-03,9.638120651245117
2000-07-05,9.754242897033691
2000-07-06,9.823920249938965
2000-07-07,10.300015449523926
2000-07-10,10.45097541809082
2000-07-11,10.52645206451416
2000-07-12,10.555487632751465
2000-07-13,10.358077049255371
2000-07-14,10.48581600189209
2000-07-17,10.427750587463379
2000-07-18,10.45097541809082
2000-07-19,10.317439079284668
2000-07-20,10.288408279418945
2000-07-21,10.26518440246582
2000-07-24,10.102612495422363
2000-07-25,10.125835418701172
2000-07-26,10.090997695922852
2000-07-27,10.172284126281738
2000-07-28,9.858756065368652
2000-07-31,9.661347389221191
2000-08-01,9.800694465637207
2000-08-02,9.800694465637207
2000-08-03,9.754242897033691
2000-08-04,9.713607788085938
2000-08-07,9.97488021850586
2000-08-08,10.270987510681152
2000-08-09,10.090997695922852
2000-08-10,9.800694465637207
2000-08-11,9.940042495727539
2000-08-14,10.06777286529541
2000-08-15,9.777464866638184
2000-08-16,9.585866928100586
2000-08-17,9.591673851013184
2000-08-18,9.719407081604004
2000-08-21,9.487160682678223
2000-08-22,9.672957420349121
2000-08-23,9.614899635314941
2000-08-24,9.614899635314941
2000-08-25,9.701993942260742
2000-08-28,9.54522705078125
2000-08-29,9.504586219787598
2000-08-30,9.394268989562988
2000-08-31,9.260725021362305
2000-09-01,9.44652271270752
2000-09-05,9.54522705078125
2000-09-06,9.684569358825684
2000-09-07,9.603285789489746
2000-09-08,9.78327751159668
2000-09-11,9.963265419006348
2000-09-12,9.963265419006348
2000-09-13,9.963265419006348
2000-09-14,9.905203819274902
2000-09-15,9.81920051574707
2000-09-18,9.621306419372559
2000-09-19,9.458329200744629
2000-09-20,9.272074699401855
2000-09-21,9.615482330322266
2000-09-22,9.551460266113281
2000-09-25,9.405943870544434
2000-09-26,9.196405410766602
2000-09-27,9.283712387084961
2000-09-28,9.429226875305176
2000-09-29,9.272074699401855
2000-10-02,9.12656021118164
2000-10-03,9.196405410766602
2000-10-04,9.35937786102295
2000-10-05,9.237153053283691
2000-10-06,8.946123123168945
2000-10-09,9.004329681396484
2000-10-10,9.010149955749512
2000-10-11,8.754042625427246
2000-10-12,8.142892837524414
2000-10-13,8.311688423156738
2000-10-16,8.457197189331055
2000-10-17,8.224381446838379
2000-10-18,8.381532669067383
2000-10-19,8.724943161010742
2000-10-20,8.567785263061523
2000-10-23,8.620177268981934
2000-10-24,8.625992774963379
2000-10-25,8.497940063476562
2000-10-26,8.468843460083008
2000-10-27,8.550333023071289
2000-10-30,8.765687942504883
2000-10-31,9.15566349029541
2000-11-01,9.231325149536133
2000-11-02,9.312816619873047
2000-11-03,9.178946495056152
