Date,XLV
2000-01-03,20.44073486328125
2000-01-04,19.97690773010254
2000-01-05,19.797691345214844
2000-01-06,19.86093521118164
2000-01-07,20.103408813476562
2000-01-10,22.159072875976562
2000-01-11,21.56873321533203
2000-01-12,21.210308074951172
2000-01-13,21.84282112121582
2000-01-14,21.653060913085938
2000-01-18,21.252466201782227
2000-01-19,21.75848388671875
2000-01-20,21.589807510375977
2000-01-21,21.547637939453125
2000-01-24,20.904598236083984
2000-01-25,21.052173614501953
2000-01-26,20.957292556762695
2000-01-27,20.830799102783203
2000-01-28,20.40912628173828
2000-01-31,20.314247131347656
2000-02-01,20.577795028686523
2000-02-02,21.083805084228516
2000-02-03,21.273550033569336
2000-02-04,21.347349166870117
2000-02-07,20.999467849731445
2000-02-08,21.23137855529785
2000-02-09,20.851886749267578
2000-02-10,20.67266273498535
2000-02-11,20.68320655822754
2000-02-14,20.303699493408203
2000-02-15,20.145572662353516
2000-02-16,19.576309204101562
2000-02-17,19.56576919555664
2000-02-18,19.028121948242188
2000-02-22,18.891080856323242
2000-02-23,19.186256408691406
2000-02-24,19.038671493530273
2000-02-25,18.448328018188477
2000-02-28,18.77512550354004
2000-02-29,18.985965728759766
2000-03-01,19.144088745117188
2000-03-02,19.059762954711914
2000-03-03,19.32330322265625
2000-03-06,18.94379234313965
2000-03-07,18.595914840698242
2000-03-08,18.501039505004883
2000-03-09,18.933259963989258
2000-03-10,18.77512550354004
2000-03-13,18.63808250427246
2000-03-14,18.6907901763916
2000-03-15,18.785663604736328
2000-03-16,19.75551986694336
2000-03-17,19.776599884033203
2000-03-20,20.156112670898438
2000-03-21,20.28261947631836
2000-03-22,20.799163818359375
2000-03-23,20.883506774902344
2000-03-24,21.062719345092773
2000-03-27,20.91513442993164
2000-03-28,20.93621063232422
2000-03-29,20.61995506286621
2000-03-30,20.324787139892578
2000-03-31,20.693763732910156
2000-04-03,20.68320655822754
2000-04-04,20.451290130615234
2000-04-05,20.314247131347656
2000-04-06,20.704288482666016
2000-04-07,20.757003784179688
2000-04-10,20.61995506286621
2000-04-11,20.799163818359375
2000-04-12,20.419658660888672
2000-04-13,19.903100967407227
2000-04-14,18.701330184936523
2000-04-17,18.859466552734375
2000-04-18,19.376014709472656
2000-04-19,19.88202476501465
2000-04-20,19.966358184814453
2000-04-24,19.68172264099121
2000-04-25,20.177196502685547
2000-04-26,20.388038635253906
2000-04-27,20.26152992248535
2000-04-28,20.451290130615234
2000-05-01,20.51453971862793
2000-05-02,20.103408813476562
2000-05-03,19.54468536376953
2000-05-04,19.48143196105957
2000-05-05,19.460350036621094
2000-05-08,19.50251007080078
2000-05-09,19.365476608276367
2000-05-10,19.33384132385254
2000-05-11,19.31276512145996
2000-05-12,19.65010643005371
2000-05-15,19.97690773010254
2000-05-16,20.240447998046875
2000-05-17,20.00853157043457
2000-05-18,19.987443923950195
2000-05-19,19.460350036621094
2000-05-22,19.238971710205078
2000-05-23,19.080842971801758
2000-05-24,19.207338333129883
2000-05-25,19.059762954711914
2000-05-26,18.91217803955078
2000-05-30,19.692276000976562
2000-05-31,19.903100967407227
2000-06-01,19.776599884033203
2000-06-02,20.26152992248535
2000-06-05,20.198278427124023
