date,XLI
2000-01-03,18.074865341186523
2000-01-04,17.57551383972168
2000-01-05,17.497188568115234
2000-01-06,17.7321834564209
2000-01-07,18.407787322998047
2000-01-10,18.407787322998047
2000-01-11,18.172779083251953
2000-01-12,17.957380294799805
2000-01-13,18.30007553100586
2000-01-14,18.172779083251953
2000-01-18,18.153209686279297
2000-01-19,18.094459533691406
2000-01-20,17.97695541381836
2000-01-21,17.75176429748535
2000-01-24,17.24260902404785
2000-01-25,17.14470100402832
2000-01-26,17.281770706176758
2000-01-27,17.379680633544922
2000-01-28,16.91950035095215
2000-01-31,17.036985397338867
2000-02-01,16.91950035095215
2000-02-02,16.929279327392578
2000-02-03,16.91950035095215
2000-02-04,16.988027572631836
2000-02-07,16.69428253173828
2000-02-08,16.762834548950195
2000-02-09,16.586589813232422
2000-02-10,16.302627563476562
2000-02-11,15.95993709564209
2000-02-14,16.21451187133789
2000-02-15,16.498470306396484
2000-02-16,16.459291458129883
2000-02-17,16.527835845947266
2000-02-18,16.165552139282227
2000-02-22,16.429922103881836
2000-02-23,16.302627563476562
2000-02-24,16.15576934814453
2000-02-25,15.871816635131836
2000-02-28,15.920774459838867
2000-02-29,16.09701919555664
2000-03-01,16.00890350341797
2000-03-02,16.067644119262695
2000-03-03,16.508256912231445
2000-03-06,16.439714431762695
2000-03-07,15.783696174621582
2000-03-08,15.95014476776123
2000-03-09,16.11659812927246
2000-03-10,16.15576934814453
2000-03-13,15.910982131958008
2000-03-14,15.822861671447754
2000-03-15,16.459291458129883
2000-03-16,17.350313186645508
2000-03-17,17.32723617553711
2000-03-20,17.425355911254883
2000-03-21,17.798192977905273
2000-03-22,17.719694137573242
2000-03-23,18.131790161132812
2000-03-24,18.23971176147461
2000-03-27,18.0140438079834
2000-03-28,17.964990615844727
2000-03-29,18.190662384033203
2000-03-30,18.30839157104492
2000-03-31,18.337827682495117
2000-04-03,18.416324615478516
2000-04-04,18.21027374267578
2000-04-05,18.141599655151367
2000-04-06,18.298585891723633
2000-04-07,18.57330322265625
2000-04-10,18.602733612060547
2000-04-11,18.828407287597656
2000-04-12,18.49481773376465
2000-04-13,18.543869018554688
2000-04-14,17.32723617553711
2000-04-17,17.749134063720703
2000-04-18,17.817813873291016
2000-04-19,17.886503219604492
2000-04-20,18.033666610717773
2000-04-24,18.053293228149418
2000-04-25,18.99520492553711
2000-04-26,18.710670471191406
2000-04-27,18.73028564453125
2000-04-28,18.602733612060547
2000-05-01,19.03445053100586
2000-05-02,18.838224411010746
2000-05-03,18.21027374267578
2000-05-04,18.23971176147461
2000-05-05,18.56349754333496
2000-05-08,18.55368995666504
2000-05-09,18.40651512145996
2000-05-10,18.220081329345703
2000-05-11,18.67142105102539
2000-05-12,18.897092819213867
2000-05-15,19.2110595703125
2000-05-16,19.38766860961914
2000-05-17,19.260114669799805
2000-05-18,19.171817779541016
2000-05-19,18.64198112487793
2000-05-22,18.318201065063477
2000-05-23,18.23971176147461
2000-05-24,18.504627227783203
2000-05-25,18.171031951904297
2000-05-26,18.072914123535156
2000-05-30,18.396705627441406
2000-05-31,18.524246215820312
2000-06-01,18.67142105102539
2000-06-02,18.80878639221191
2000-06-05,18.779340744018555
2000-06-06,18.64198112487793
2000-06-07,18.55368995666504
2000-06-08,18.25933074951172
2000-06-09,18.328014373779297
2000-06-12,18.34763526916504
2000-06-13,18.42613410949707
2000-06-14,18.386884689331055
2000-06-15,18.56349754333496
2000-06-16,18.23810386657715
2000-06-19,18.05129623413086
2000-06-20,17.490875244140625
2000-06-21,17.559701919555664
2000-06-22,17.1762638092041
2000-06-23,17.363065719604492
2000-06-26,17.776012420654297
2000-06-27,17.85466194152832
2000-06-28,18.080795288085938
2000-06-29,17.766176223754883
2000-06-30,17.795671463012695
2000-07-03,18.03162956237793
2000-07-05,17.874319076538086
2000-07-06,17.825162887573242
2000-07-07,17.913658142089844
2000-07-10,17.933307647705078
2000-07-11,18.277427673339844
2000-07-12,18.34624671936035
2000-07-13,18.493728637695312
2000-07-14,18.68052864074707
2000-07-17,18.78868103027344
2000-07-18,18.83783721923828
2000-07-19,18.68052864074707
2000-07-20,18.906660079956055
2000-07-21,18.877166748046875
2000-07-24,18.739524841308594
2000-07-25,18.778846740722656
2000-07-26,18.54288673400879
2000-07-27,18.415069580078125
2000-07-28,17.795671463012695
2000-07-31,18.070964813232425
2000-08-01,18.20860290527344
2000-08-02,18.12994956970215
2000-08-03,18.159442901611328
2000-08-04,18.385576248168945
2000-08-07,18.926332473754883
2000-08-08,19.09347343444824
2000-08-09,19.26061630249023
2000-08-10,19.21145820617676
2000-08-11,19.427753448486328
2000-08-14,19.6243953704834
2000-08-15,19.378597259521484
2000-08-16,19.29010772705078
2000-08-17,19.388423919677734
2000-08-18,19.329435348510746
2000-08-21,19.604724884033203
2000-08-22,19.56540298461914
2000-08-23,19.467086791992188
2000-08-24,19.67355728149414
2000-08-25,19.762041091918945
2000-08-28,20.027498245239254
2000-08-29,19.899688720703125
2000-08-30,19.712879180908203
2000-08-31,19.860355377197266
2000-09-01,20.03732681274414
2000-09-05,20.03732681274414
2000-09-06,20.135648727416992
2000-09-07,20.017667770385746
2000-09-08,19.781692504882812
2000-09-11,19.683378219604492
2000-09-12,19.6243953704834
2000-09-13,19.683378219604492
2000-09-14,19.66371726989746
2000-09-15,19.165267944335938
2000-09-18,18.94837188720703
2000-09-19,18.73147773742676
2000-09-20,18.830068588256836
2000-09-21,18.88922119140625
2000-09-22,18.75120735168457
2000-09-25,19.30328369140625
2000-09-26,19.322999954223633
2000-09-27,19.165267944335938
2000-09-28,19.421581268310547
2000-09-29,19.2835693359375
2000-10-02,19.08639335632324
2000-10-03,19.461023330688477
2000-10-04,19.599042892456055
2000-10-05,19.61876678466797
2000-10-06,19.08639335632324
2000-10-09,19.20469856262207
2000-10-10,18.94837188720703
2000-10-11,18.613182067871097
2000-10-12,18.189252853393555
2000-10-13,18.75120735168457
2000-10-16,19.00751495361328
2000-10-17,18.4948787689209
2000-10-18,18.159683227539062
2000-10-19,18.47516632080078
2000-10-20,18.573747634887695
2000-10-23,18.790637969970703
2000-10-24,19.08639335632324
2000-10-25,18.73147773742676
2000-10-26,18.830068588256836
2000-10-27,18.82021141052246
2000-10-30,19.027244567871097
2000-10-31,19.717350006103516
2000-11-01,19.737064361572266
2000-11-02,19.697629928588867
2000-11-03,19.539886474609375
2000-11-06,19.717350006103516
2000-11-07,19.796220779418945
2000-11-08,19.668062210083008
2000-11-09,19.796220779418945
2000-11-10,19.342723846435547
