date,XLB
2000-01-03,7.201328754425049
2000-01-04,7.132004737854004
2000-01-05,7.426644802093506
2000-01-06,7.617290019989014
2000-01-07,7.612959384918213
2000-01-10,7.5869622230529785
2000-01-11,7.495972156524658
2000-01-12,7.387643337249756
2000-01-13,7.417974472045898
2000-01-14,7.365979194641113
2000-01-18,7.188333988189697
2000-01-19,7.049677848815918
2000-01-20,6.863358974456787
2000-01-21,6.89369535446167
2000-01-24,6.71170711517334
2000-01-25,6.586052894592285
2000-01-26,6.586052894592285
2000-01-27,6.620719909667969
2000-01-28,6.508062362670898
2000-01-31,6.469066143035889
2000-02-01,6.586052894592285
2000-02-02,6.616384506225586
2000-02-03,6.503732204437256
2000-02-04,6.495060920715332
2000-02-07,6.369407653808594
2000-02-08,6.35207462310791
2000-02-09,6.226424217224121
2000-02-10,6.174428462982178
2000-02-11,6.022772789001465
2000-02-14,6.122434616088867
2000-02-15,6.386739730834961
2000-02-16,6.239420413970947
2000-02-17,6.226424217224121
2000-02-18,6.035772800445557
2000-02-22,6.226424217224121
2000-02-23,6.157095432281494
2000-02-24,5.93611478805542
2000-02-25,5.840790271759033
2000-02-28,5.8581223487854
2000-02-29,5.819126605987549
2000-03-01,5.75846529006958
2000-03-02,5.632806301116943
2000-03-03,5.814791679382324
2000-03-06,5.676140308380127
2000-03-07,5.4941558837890625
2000-03-08,5.611144542694092
2000-03-09,5.602478981018066
2000-03-10,5.650138854980469
2000-03-13,5.736800670623779
2000-03-14,5.63714075088501
2000-03-15,5.9751129150390625
2000-03-16,6.32607889175415
2000-03-17,6.1152424812316895
2000-03-20,6.1890788078308105
2000-03-21,6.262913703918457
2000-03-22,6.102214813232422
2000-03-23,6.288968086242676
2000-03-24,6.25856876373291
2000-03-27,6.232510089874268
2000-03-28,6.1152424812316895
2000-03-29,6.241198539733887
2000-03-30,6.410581588745117
2000-03-31,6.406235218048096
2000-04-03,6.614710807800293
2000-04-04,6.55390739440918
2000-04-05,6.501786708831787
2000-04-06,6.462697982788086
2000-04-07,6.358460903167725
2000-04-10,6.514817714691162
2000-04-11,6.671175956726074
2000-04-12,6.844903469085693
2000-04-13,6.653804302215576
2000-04-14,6.288968086242676
2000-04-17,6.297654628753662
2000-04-18,6.180389881134033
2000-04-19,6.102214813232422
2000-04-20,6.254223823547363
2000-04-24,6.26725435256958
2000-04-25,6.275943756103516
2000-04-26,6.167360782623291
2000-04-27,6.145646572113037
2000-04-28,6.193419456481934
2000-05-01,6.184731960296631
2000-05-02,6.375836372375488
2000-05-03,6.271595478057861
2000-05-04,6.336746692657471
2000-05-05,6.332404136657715
2000-05-08,6.297654628753662
2000-05-09,6.410581588745117
2000-05-10,6.332404136657715
2000-05-11,6.414923191070557
2000-05-12,6.43664026260376
2000-05-15,6.549561023712158
2000-05-16,6.4800705909729
2000-05-17,6.4974470138549805
2000-05-18,6.445324420928955
2000-05-19,6.462697982788086
2000-05-22,6.427953720092773
2000-05-23,6.336746692657471
2000-05-24,6.3106865882873535
2000-05-25,6.080498218536377
2000-05-26,5.984944820404053
2000-05-30,6.050096035003662
2000-05-31,5.997976779937744
2000-06-01,6.015349388122559
2000-06-02,6.1152424812316895
2000-06-05,6.0631232261657715
2000-06-06,6.071809768676758
2000-06-07,5.941511154174805
2000-06-08,5.932827472686768
2000-06-09,5.924140930175781
2000-06-12,5.958884239196777
2000-06-13,5.789502143859863
2000-06-14,5.941511154174805
2000-06-15,5.941511154174805
2000-06-16,5.969438552856445
2000-06-19,5.777439594268799
2000-06-20,5.672712802886963
2000-06-21,5.646533489227295
2000-06-22,5.646533489227295
2000-06-23,5.650894641876221
2000-06-26,5.519989013671875
2000-06-27,5.742534160614014
2000-06-28,5.729441165924072
2000-06-29,5.624716758728027
2000-06-30,5.48507833480835
2000-07-03,5.637805938720703
2000-07-05,5.663987636566162
2000-07-06,5.515626907348633
2000-07-07,5.489443302154541
2000-07-10,5.5679850578308105
2000-07-11,5.864711761474609
2000-07-12,5.834168910980225
2000-07-13,5.899623870849609
2000-07-14,5.781802177429199
2000-07-17,5.690168857574463
2000-07-18,5.602893829345703
2000-07-19,5.602893829345703
2000-07-20,5.559258937835693
2000-07-21,5.5854411125183105
2000-07-24,5.594170570373535
2000-07-25,5.52435302734375
2000-07-26,5.489443302154541
2000-07-27,5.550532341003418
2000-07-28,5.506895542144775
2000-07-31,5.533078670501709
2000-08-01,5.537443161010742
2000-08-02,5.572353363037109
2000-08-03,5.6334428787231445
2000-08-04,5.581079959869385
2000-08-07,5.690168857574463
2000-08-08,5.829806804656982
2000-08-09,5.834168910980225
2000-08-10,5.746896266937256
2000-08-11,5.864711761474609
2000-08-14,5.864711761474609
2000-08-15,5.899623870849609
2000-08-16,5.899623870849609
2000-08-17,5.912712574005127
2000-08-18,5.807984828948975
2000-08-21,5.777439594268799
2000-08-22,5.7207136154174805
2000-08-23,5.694533824920654
2000-08-24,5.70326042175293
2000-08-25,5.672712802886963
2000-08-28,5.663987636566162
2000-08-29,5.5854411125183105
2000-08-30,5.598535537719727
