date,XLB
2000-01-03,7.228257179260254
2000-01-04,7.158670902252197
2000-01-05,7.454412937164307
2000-01-06,7.6457743644714355
2000-01-07,7.641425609588623
2000-01-10,7.615328788757324
2000-01-11,7.523993968963623
2000-01-12,7.415272235870361
2000-01-13,7.445713996887207
2000-01-14,7.393524169921875
2000-01-18,7.215210914611816
2000-01-19,7.076035976409912
2000-01-20,6.889020919799805
2000-01-21,6.919467926025391
2000-01-24,6.7368059158325195
2000-01-25,6.61068058013916
2000-01-26,6.61068058013916
2000-01-27,6.645473957061768
2000-01-28,6.532394886016846
2000-01-31,6.4932541847229
2000-02-01,6.61068058013916
2000-02-02,6.641124725341797
2000-02-03,6.52804708480835
2000-02-04,6.519348621368408
2000-02-07,6.393222808837891
2000-02-08,6.37582540512085
2000-02-09,6.249703884124756
2000-02-10,6.19751501083374
2000-02-11,6.045292377471924
2000-02-14,6.145323276519775
2000-02-15,6.410619735717773
2000-02-16,6.262747764587402
2000-02-17,6.249703884124756
2000-02-18,6.058340072631836
2000-02-22,6.249703884124756
2000-02-23,6.180116176605225
2000-02-24,5.958311557769775
2000-02-25,5.8626275062561035
2000-02-28,5.880027770996094
2000-02-29,5.840885162353516
2000-03-01,5.7799973487854
2000-03-02,5.653871059417725
2000-03-03,5.8365325927734375
2000-03-06,5.697364330291748
2000-03-07,5.514699935913086
2000-03-08,5.6321258544921875
2000-03-09,5.623428821563721
2000-03-10,5.671269416809082
2000-03-13,5.758252143859863
2000-03-14,5.658222198486328
2000-03-15,5.997452735900879
2000-03-16,6.3497314453125
2000-03-17,6.1381072998046875
2000-03-20,6.212220191955566
2000-03-21,6.2863311767578125
2000-03-22,6.125030517578125
2000-03-23,6.312487602233887
2000-03-24,6.281966209411621
2000-03-27,6.2558135986328125
2000-03-28,6.1381072998046875
2000-03-29,6.264533042907715
2000-03-30,6.434545516967773
2000-03-31,6.430190563201904
2000-04-03,6.639444351196289
2000-04-04,6.5784125328063965
2000-04-05,6.526101112365723
2000-04-06,6.486860275268555
2000-04-07,6.382237434387207
