date,BRK-B,JPM,NVDA,GOOGL,PEP,WMT,^GSPC
2010-01-04,66.22000122070312,28.279203414916992,0.4232904016971588,15.555865287780762,37.23470687866211,12.909189224243164,1132.989990234375
2010-01-05,66.54000091552734,28.826963424682617,0.42947152256965637,15.4873628616333,37.684654235839844,12.7806396484375,1136.52001953125
2010-01-06,66.19999694824219,28.985363006591797,0.4322187006473541,15.096944808959961,37.307674407958984,12.752079010009766,1137.1400146484375
2010-01-07,66.45999908447266,29.559526443481445,0.4237484037876129,14.745494842529297,37.070560455322266,12.7592191696167,1141.68994140625
2010-01-08,66.44000244140625,29.486936569213867,0.4246639311313629,14.942070960998535,36.94894027709961,12.694948196411133,1144.97998046875
2010-01-11,66.5,29.387922286987305,0.4187118709087372,14.919483184814453,36.90638732910156,12.90443229675293,1146.97998046875
2010-01-12,66.0,28.701576232910156,0.404518187046051,14.655648231506348,37.42321014404297,13.028210639953613,1136.219970703125
2010-01-13,66.0,29.203128814697266,0.41001254320144653,14.571508407592773,37.72719955444336,13.094860076904297,1145.6800537109375
2010-01-14,65.95999908447266,29.493528366088867,0.4036024212837219,14.64001178741455,38.18321228027344,12.90443229675293,1148.4599609375
2010-01-15,64.94000244140625,28.826963424682617,0.3916981816291809,14.395536422729492,37.873130798339844,12.77826976776123,1136.030029296875
2010-01-19,66.63999938964844,28.5629825592041,0.3990238308906555,14.584663391113281,37.8974494934082,12.861579895019531,1150.22998046875
2010-01-20,69.5199966430664,28.64218521118164,0.39742138981819153,14.40571117401123,37.666412353515625,12.821113586425781,1138.0400390625
2010-01-21,72.72000122070312,26.754697799682617,0.39032453298568726,14.469499588012695,37.052303314208984,12.597349166870117,1116.47998046875
2010-01-22,70.0999984741211,25.843957901000977,0.37681782245635986,13.651185989379883,36.7178955078125,12.6021089553833,1091.760009765625
2010-01-25,68.83999633789062,25.876955032348633,0.38322779536247253,13.402740478515625,36.62063217163086,12.587825775146484,1096.780029296875
2010-01-26,68.0,25.36879539489746,0.371094673871994,13.462804794311523,36.632781982421875,12.761600494384766,1092.1700439453125
2010-01-27,71.36000061035156,25.95615577697754,0.3811674118041992,13.45486068725586,36.657108306884766,12.711612701416016,1097.5
2010-01-28,73.75,26.055145263671875,0.3683473467826843,13.261018753051758,36.322696685791016,12.523558616638184,1084.530029296875
2010-01-29,76.43000030517578,25.698768615722656,0.3523223102092743,13.15305233001709,36.24972915649414,12.71875286102295,1073.8699951171875
2010-02-01,75.41000366210938,26.15413475036621,0.3793359696865082,13.229496955871582,36.90638732910156,12.730656623840332,1089.18994140625
2010-02-02,75.51000213623047,26.761289596557617,0.38322779536247253,13.182339668273926,37.18000411987305,12.7330322265625,1103.3199462890625
2010-02-03,74.36000061035156,26.589710235595703,0.38643282651901245,13.42309284210205,37.26511764526367,12.918709754943848,1097.280029296875
2010-02-04,72.61000061035156,25.309385299682617,0.3639977276325226,13.074621200561523,36.26189422607422,12.609251976013184,1063.1099853515625
2010-02-05,73.56999969482422,25.276395797729492,0.3713233470916748,13.186558723449707,36.18285369873047,12.723515510559082,1066.18994140625
2010-02-08,74.2300033569336,24.880420684814453,0.3706367313861847,13.240665435791016,35.848453521728516,12.599726676940918,1056.739990234375
2010-02-09,74.52999877929688,25.335786819458008,0.3676605820655823,13.31438159942627,36.51117706298828,12.67590618133545,1070.52001953125
2010-02-10,74.41999816894531,25.652570724487305,0.37475746870040894,13.26499080657959,36.711830139160156,12.673523902893066,1068.1300048828125
2010-02-11,76.69000244140625,25.751567840576172,0.3919270932674408,13.313387870788574,37.204315185546875,12.635435104370117,1078.469970703125
2010-02-12,76.9000015258789,25.705368041992188,0.39719250798225403,13.231979370117188,37.0401496887207,12.5925874710083,1075.510009765625
2010-02-16,76.05000305175781,26.444515228271484,0.404518187046051,13.435005187988281,37.277286529541016,12.749700546264648,1094.8699951171875
2010-02-17,76.25,26.42471694946289,0.4084099531173706,13.35831356048584,37.76368713378906,12.868721008300781,1099.510009765625
2010-02-18,76.63999938964844,26.668903350830078,0.38162511587142944,13.482659339904785,38.01905059814453,12.728276252746582,1106.75
2010-02-19,78.73999786376953,26.418119430541992,0.37956491112709045,13.42160415649414,38.098087310791016,12.7330322265625,1109.1700439453125
2010-02-22,79.55999755859375,26.959293365478516,0.3802517354488373,13.472236633300781,37.94609069824219,12.813969612121582,1108.010009765625
2010-02-23,79.1500015258789,26.31913185119629,0.371094673871994,13.280377388000488,37.563045501708984,12.763978958129883,1094.5999755859375
2010-02-24,79.68000030517578,26.959293365478516,0.3788782060146332,13.191025733947754,37.74544906616211,12.835393905639648,1105.239990234375
2010-02-25,79.4000015258789,26.820701599121094,0.3754442632198334,13.065934181213379,37.879207611083984,12.890143394470215,1102.93994140625
2010-02-26,80.12999725341797,27.69843864440918,0.3708655834197998,13.075116157531738,37.98257827758789,12.871101379394531,1104.489990234375
2010-03-01,81.91000366210938,27.606048583984375,0.38574594259262085,13.221307754516602,38.566261291503906,12.830635070800781,1115.7099609375
2010-03-02,80.7699966430664,27.467458724975586,0.38551703095436096,13.429049491882324,38.79123306274414,12.756839752197266,1118.31005859375
2010-03-03,82.94999694824219,27.408052444458008,0.3807094693183899,13.534782409667969,39.177001953125,12.773505210876465,1118.7900390625
2010-03-04,82.68000030517578,27.665447235107422,0.3813962936401367,13.764863014221191,39.25661849975586,12.84492015838623,1122.969970703125
2010-03-05,83.36000061035156,28.252811431884766,0.393071711063385,14.003628730773926,39.41581344604492,12.887768745422363,1138.699951171875
2010-03-08,82.79000091552734,28.107627868652344,0.38734862208366394,13.96069049835205,39.281105041503906,12.890143394470215,1138.5
2010-03-09,82.47000122070312,27.99541473388672,0.40177106857299805,13.903854370117188,39.40969467163086,12.868721008300781,1140.449951171875
2010-03-10,82.06999969482422,28.33199691772461,0.4026866853237152,14.307426452636719,39.45255661010742,12.838316917419434,1145.6099853515625
2010-03-11,82.36000061035156,28.496978759765625,0.39352962374687195,14.423829078674316,39.783206939697266,12.919707298278809,1150.239990234375
2010-03-12,82.23999786376953,28.47718048095703,0.3949032425880432,14.384119033813477,39.86281204223633,12.902952194213867,1149.989990234375
2010-03-15,82.16999816894531,28.424381256103516,0.3928428292274475,13.97806453704834,40.505767822265625,13.266820907592773,1150.510009765625
2010-03-16,82.30000305175781,28.53659439086914,0.40657860040664673,14.02820110321045,40.456783294677734,13.403266906738281,1159.4599609375
2010-03-17,82.5,28.899551391601562,0.4143621027469635,14.03713607788086,40.762943267822266,13.386514663696289,1166.2099609375
2010-03-18,82.3499984741211,28.800575256347656,0.3997107446193695,14.057984352111816,40.73231506347656,13.391304969787598,1165.8299560546875
2010-03-19,82.05999755859375,28.675180435180664,0.3949032425880432,13.899136543273926,40.75681686401367,13.247669219970703,1159.9000244140625
2010-03-22,82.37000274658203,28.86655616760254,0.4013132154941559,13.83708667755127,40.603729248046875,13.314701080322266,1165.81005859375
2010-03-23,82.33000183105469,29.42093849182129,0.4095546305179596,13.626117706298828,40.940513610839844,13.3793363571167,1174.1700439453125
2010-03-24,81.44000244140625,29.658512115478516,0.39581888914108276,13.832867622375488,40.57311248779297,13.305121421813965,1167.719970703125
2010-03-25,81.69999694824219,29.658512115478516,0.39696356654167175,13.970619201660156,40.750675201416016,13.312302589416504,1165.72998046875
2010-03-26,81.30000305175781,29.711318969726562,0.39696356654167175,13.965904235839844,40.77518844604492,13.288369178771973,1166.5899658203125
2010-03-29,81.75,29.605712890625,0.4020000398159027,13.959946632385254,40.750675201416016,13.343428611755371,1173.219970703125
2010-03-30,81.5999984741211,29.42093849182129,0.4036024212837219,14.065680503845215,40.885398864746094,13.384121894836426,1173.27001953125
2010-03-31,81.2699966430664,29.53312110900879,0.398337185382843,14.075855255126953,40.51189041137695,13.309911727905273,1169.4300537109375
2010-04-01,81.6500015258789,29.850250244140625,0.3942163288593292,14.117551803588867,40.83028793334961,13.283576965332031,1178.0999755859375
2010-04-05,81.16000366210938,29.955974578857422,0.40016859769821167,14.172405242919922,40.401668548583984,13.283576965332031,1187.43994140625
2010-04-06,80.91000366210938,30.286306381225586,0.39032453298568726,14.103157043457031,40.65272521972656,13.293155670166016,1189.43994140625
2010-04-07,79.94999694824219,29.9427490234375,0.3928428292274475,13.987001419067383,40.40779113769531,13.233304023742676,1182.449951171875
