date,AAPL,JPM,MSFT,^GSPC
2010-01-04,6.406479835510254,28.279193878173828,23.07738494873047,1132.989990234375
2010-01-05,6.417557716369629,28.826967239379883,23.0848388671875,1136.52001953125
2010-01-06,6.3154778480529785,28.9853515625,22.943164825439453,1137.1400146484375
2010-01-07,6.303800106048584,29.559518814086914,22.704561233520508,1141.68994140625
2010-01-08,6.3457112312316895,29.486919403076172,22.86115074157715,1144.97998046875
2010-01-11,6.289732933044434,29.387943267822266,22.570350646972656,1146.97998046875
2010-01-12,6.218184947967529,28.701576232910156,22.421218872070312,1136.219970703125
2010-01-13,6.305898666381836,29.20314598083496,22.630002975463867,1145.6800537109375
2010-01-14,6.269376277923584,29.493511199951172,23.0848388671875,1148.4599609375
2010-01-15,6.164603233337402,28.826967239379883,23.010271072387695,1136.030029296875
2010-01-19,6.437313556671143,28.562986373901367,23.189228057861328,1150.22998046875
2010-01-20,6.338228702545166,28.642179489135742,22.808956146240234,1138.0400390625
2010-01-21,6.228663444519043,26.754695892333984,22.37649154663086,1116.47998046875
2010-01-22,5.9197306632995605,25.843950271606445,21.59356689453125,1091.760009765625
2010-01-25,6.078986644744873,25.876956939697266,21.86199378967285,1096.780029296875
2010-01-26,6.164902210235596,25.3687801361084,21.996217727661133,1092.1700439453125
2010-01-27,6.222977638244629,25.956148147583008,22.122970581054688,1097.5
2010-01-28,5.9658308029174805,26.055147171020508,21.742692947387695,1084.530029296875
2010-01-29,5.749395847320557,25.698774337768555,21.011974334716797,1073.8699951171875
2010-02-01,5.829324245452881,26.154136657714844,21.183469772338867,1089.18994140625
2010-02-02,5.863152503967285,26.76129722595215,21.220754623413086,1103.3199462890625
2010-02-03,5.964034557342529,26.58970832824707,21.347515106201172,1097.280029296875
2010-02-04,5.74909782409668,25.309396743774414,20.758453369140625,1063.1099853515625
2010-02-05,5.85117769241333,25.276390075683594,20.892663955688477,1066.18994140625
2010-02-08,5.811064720153809,24.880420684814453,20.668983459472656,1056.739990234375
2010-02-09,5.873033046722412,25.33578872680664,20.885215759277344,1070.52001953125
2010-02-10,5.841000080108643,25.652570724487305,20.870302200317383,1068.1300048828125
2010-02-11,5.947270393371582,25.751562118530273,20.967233657836914,1078.469970703125
2010-02-12,5.9984588623046875,25.705354690551758,20.8255672454834,1075.510009765625
2010-02-16,6.088866710662842,26.444528579711914,21.237579345703125,1094.8699951171875
2010-02-17,6.063421726226807,26.42472267150879,21.417367935180664,1099.510009765625
2010-02-18,6.074795722961426,26.66890525817871,21.702037811279297,1106.75
2010-02-19,6.037077903747559,26.418127059936523,21.552215576171875,1109.1700439453125
2010-02-22,5.99965763092041,26.959287643432617,21.522245407104492,1108.010009765625
2010-02-23,5.899074077606201,26.31912612915039,21.22259521484375,1094.5999755859375
2010-02-24,6.006843090057373,26.959287643432617,21.44733428955078,1105.239990234375
2010-02-25,6.0469560623168945,26.820693969726562,21.424867630004883,1102.93994140625
2010-02-26,6.125387191772461,27.698436737060547,21.4773006439209,1104.489990234375
2010-03-01,6.256206035614014,27.606061935424805,21.73949432373047,1115.7099609375
2010-03-02,6.252014636993408,27.467449188232422,21.319978713989258,1118.31005859375
2010-03-03,6.266380786895752,27.408050537109375,21.319978713989258,1118.7900390625
2010-03-04,6.307692527770996,27.665435791015625,21.44733428955078,1122.969970703125
2010-03-05,6.554362773895264,28.252792358398438,21.417367935180664,1138.699951171875
2010-03-08,6.558252811431885,28.10761070251465,21.44733428955078,1138.5
2010-03-09,6.676198959350586,27.99542236328125,21.574687957763672,1140.449951171875
2010-03-10,6.730680465698242,28.33201026916504,21.702037811279297,1145.6099853515625
2010-03-11,6.750438213348389,28.496990203857422,21.859350204467773,1150.239990234375
2010-03-12,6.783367156982422,28.477195739746094,21.926773071289062,1149.989990234375
2010-03-15,6.700746536254883,28.42439079284668,21.941757202148438,1150.510009765625
2010-03-16,6.71900749206543,28.536579132080078,22.001686096191406,1159.4599609375
2010-03-17,6.7091288566589355,28.89957618713379,22.196455001831055,1166.2099609375
2010-03-18,6.724993705749512,28.80057144165039,22.18147087097168,1165.8299560546875
2010-03-19,6.653148651123047,28.6751766204834,22.166488647460938,1159.9000244140625
2010-03-22,6.7279863357543945,28.86656379699707,22.173982620239258,1165.81005859375
2010-03-23,6.836054801940918,29.420927047729492,22.38373565673828,1174.1700439453125
2010-03-24,6.866288661956787,29.65851402282715,22.211442947387695,1167.719970703125
2010-03-25,6.784862518310547,29.65851402282715,22.481130599975586,1165.72998046875
2010-03-26,6.912092685699463,29.711313247680664,22.21892738342285,1166.5899658203125
2010-03-29,6.956695556640625,29.605722427368164,22.166488647460938,1173.219970703125
2010-03-30,7.060270309448242,29.420927047729492,22.301332473754883,1173.27001953125
