date,AMD,CRM
2010-01-04,9.699999809265137,18.434350967407227
2010-01-05,9.710000038146973,18.355510711669922
2010-01-06,9.569999694824219,18.323484420776367
2010-01-07,9.470000267028809,18.24217987060547
2010-01-08,9.430000305175781,18.269277572631836
2010-01-11,9.140000343322754,18.146087646484375
2010-01-12,8.649999618530273,16.82547378540039
2010-01-13,9.149999618530273,16.877216339111328
2010-01-14,9.0,17.047218322753906
2010-01-15,8.84000015258789,16.909242630004883
2010-01-19,9.010000228881836,17.12359619140625
2010-01-20,8.869999885559082,16.889535903930664
2010-01-21,8.989999771118164,16.478073120117188
2010-01-22,7.880000114440918,15.901538848876953
2010-01-25,8.069999694824219,15.800520896911621
2010-01-26,8.09000015258789,16.115896224975586
2010-01-27,8.1899995803833,16.11343002319336
2010-01-28,7.880000114440918,15.807915687561035
2010-01-29,7.460000038146973,15.65761947631836
2010-02-01,7.980000019073486,16.059223175048828
2010-02-02,7.909999847412109,16.0296573638916
2010-02-03,7.809999942779541,16.167631149291992
2010-02-04,7.190000057220459,15.381672859191895
2010-02-05,7.349999904632568,15.295438766479492
2010-02-08,7.420000076293945,15.305292129516602
2010-02-09,7.539999961853027,15.931108474731445
2010-02-10,7.639999866485596,15.948351860046387
2010-02-11,7.840000152587891,16.25140380859375
2010-02-12,7.869999885559082,16.037050247192383
2010-02-16,8.0600004196167,16.31053352355957
2010-02-17,8.029999732971191,16.45343780517578
2010-02-18,7.949999809265137,16.86489486694336
2010-02-19,7.929999828338623,16.980695724487305
2010-02-22,7.900000095367432,17.01026153564453
2010-02-23,7.789999961853027,16.813154220581055
2010-02-24,8.050000190734863,17.10881805419922
2010-02-25,7.889999866485596,16.756486892700195
2010-02-26,7.909999847412109,16.741703033447266
2010-03-01,8.210000038146973,17.468534469604492
2010-03-02,8.380000114440918,17.700130462646484
2010-03-03,8.350000381469727,17.387226104736328
2010-03-04,8.5,17.466068267822266
2010-03-05,8.609999656677246,17.80854034423828
2010-03-08,8.640000343322754,17.97361946105957
2010-03-09,8.630000114440918,18.15347671508789
2010-03-10,8.920000076293945,18.525516510009766
2010-03-11,8.949999809265137,18.582181930541992
2010-03-12,8.930000305175781,18.65363311767578
2010-03-15,8.920000076293945,18.62653160095215
2010-03-16,9.399999618530273,18.89508819580078
2010-03-17,9.670000076293945,18.90740966796875
2010-03-18,9.390000343322754,18.94929313659668
2010-03-19,9.109999656677246,18.730010986328125
2010-03-22,9.3100004196167,19.097124099731445
2010-03-23,9.449999809265137,18.99610710144043
2010-03-24,9.229999542236328,18.764509201049805
2010-03-25,9.029999732971191,18.717693328857422
2010-03-26,9.020000457763672,18.46638298034668
2010-03-29,9.109999656677246,18.42203140258789
2010-03-30,9.270000457763672,18.57971954345703
2010-03-31,9.270000457763672,18.343189239501953
2010-04-01,9.369999885559082,18.611751556396484
2010-04-05,9.529999732971191,18.93450927734375
2010-04-06,9.350000381469727,19.422348022460938
2010-04-07,9.65999984741211,19.015817642211914
2010-04-08,9.420000076293945,19.20553207397461
2010-04-09,9.300000190734863,19.65394401550293
2010-04-12,9.420000076293945,19.836273193359375
2010-04-13,9.5600004196167,19.816560745239258
2010-04-14,9.890000343322754,20.66411781311035
2010-04-15,10.15999984741211,20.62962532043457
2010-04-16,9.8100004196167,20.568029403686523
2010-04-19,9.579999923706055,20.36353302001953
2010-04-20,9.770000457763672,20.814409255981445
2010-04-21,9.779999732971191,20.96224021911621
2010-04-22,9.859999656677246,21.854145050048828
2010-04-23,9.760000228881836,21.721099853515625
2010-04-26,9.970000267028809,21.802404403686523
2010-04-27,9.579999923706055,21.142099380493164
2010-04-28,9.550000190734863,21.225866317749023
2010-04-29,9.720000267028809,21.716171264648438
2010-04-30,9.069999694824219,21.090360641479492
2010-05-03,9.289999961853027,21.612693786621094
2010-05-04,8.680000305175781,21.334274291992188
2010-05-05,8.579999923706055,20.996734619140625
2010-05-06,8.270000457763672,19.932361602783203
2010-05-07,8.380000114440918,19.099584579467773
2010-05-10,8.989999771118164,21.063257217407227
2010-05-11,9.069999694824219,21.238187789916992
2010-05-12,9.489999771118164,21.780231475830078
2010-05-13,9.420000076293945,21.35645294189453
2010-05-14,8.800000190734863,20.8735408782959
2010-05-17,8.850000381469727,21.00166130065918
2010-05-18,8.420000076293945,20.73556900024414
2010-05-19,8.470000267028809,20.10482406616211
2010-05-20,8.09000015258789,19.47162437438965
2010-05-21,8.399999618530273,20.508895874023438
2010-05-24,8.09000015258789,20.250194549560547
2010-05-25,8.149999618530273,20.235410690307617
2010-05-26,8.220000267028809,20.634553909301758
2010-05-27,8.800000190734863,21.4352970123291
2010-05-28,8.569999694824219,21.319496154785156
2010-06-01,8.140000343322754,20.91542625427246
2010-06-02,8.539999961853027,21.790084838867188
2010-06-03,8.6899995803833,23.455631256103516
2010-06-04,8.109999656677246,22.085744857788086
2010-06-07,7.710000038146973,21.657039642333984
2010-06-08,7.769999980926514,21.681678771972656
2010-06-09,7.610000133514404,21.932987213134766
2010-06-10,8.010000228881836,22.770687103271484
2010-06-11,8.119999885559082,23.810420989990234
2010-06-14,8.279999732971191,23.036781311035156
2010-06-15,8.819999694824219,23.408823013305664
2010-06-16,8.899999618530273,23.243743896484375
2010-06-17,8.90999984741211,23.923763275146484
2010-06-18,8.829999923706055,23.583749771118164
2010-06-21,8.800000190734863,23.507373809814453
2010-06-22,8.579999923706055,22.642568588256836
2010-06-23,8.5600004196167,22.898807525634766
2010-06-24,8.130000114440918,22.430681228637695
2010-06-25,8.09000015258789,22.573583602905273
2010-06-28,8.050000190734863,22.48981285095215
2010-06-29,7.480000019073486,21.04354476928711
2010-06-30,7.320000171661377,21.144561767578125
2010-07-01,7.389999866485596,21.452539443969727
2010-07-02,7.170000076293945,21.4623966217041
2010-07-06,7.039999961853027,21.708778381347656
2010-07-07,7.389999866485596,22.514448165893555
2010-07-08,7.369999885559082,22.56126594543457
2010-07-09,7.340000152587891,22.613004684448242
2010-07-12,7.360000133514404,22.630247116088867
2010-07-13,7.519999980926514,23.07373809814453
2010-07-14,7.440000057220459,23.586217880249023
2010-07-15,7.409999847412109,23.6502742767334
2010-07-16,7.369999885559082,22.679527282714844
2010-07-19,7.440000057220459,22.822429656982422
2010-07-20,7.599999904632568,22.94315528869629
2010-07-21,7.400000095367432,22.706634521484375
2010-07-22,7.610000133514404,23.6354923248291
2010-07-23,7.820000171661377,24.58160400390625
2010-07-26,8.069999694824219,24.655513763427734
2010-07-27,8.210000038146973,24.342609405517578
2010-07-28,7.980000019073486,24.172607421875
2010-07-29,7.78000020980835,24.09376335144043
2010-07-30,7.489999771118164,24.379566192626953
2010-08-02,7.650000095367432,25.108861923217773
2010-08-03,7.510000228881836,24.887115478515625
2010-08-04,7.519999980926514,25.515390396118164
2010-08-05,7.5,25.30103874206543
2010-08-06,7.449999809265137,25.212343215942383
2010-08-09,7.420000076293945,25.638582229614258
2010-08-10,6.829999923706055,25.044801712036133
2010-08-11,6.489999771118164,24.12333106994629
2010-08-12,6.570000171661377,23.88680076599121
2010-08-13,6.489999771118164,23.958251953125
2010-08-16,6.619999885559082,23.807958602905273
2010-08-17,6.630000114440918,24.47319221496582
2010-08-18,6.570000171661377,24.47319221496582
2010-08-19,6.420000076293945,23.753755569458008
2010-08-20,6.25,27.77964973449707
2010-08-23,6.139999866485596,27.663846969604492
2010-08-24,5.989999771118164,27.91269874572754
2010-08-25,6.130000114440918,27.64167594909668
2010-08-26,5.869999885559082,27.062673568725586
2010-08-27,6.079999923706055,27.466745376586914
2010-08-30,5.78000020980835,26.897600173950195
2010-08-31,5.610000133514404,27.07253074645996
2010-09-01,5.760000228881836,28.678943634033203
2010-09-02,5.929999828338623,29.34910774230957
2010-09-03,6.090000152587891,29.474761962890625
2010-09-07,5.949999809265137,29.47968864440918
2010-09-08,5.829999923706055,29.514183044433594
2010-09-09,5.860000133514404,28.986923217773438
2010-09-10,5.809999942779541,28.93025779724121
2010-09-13,6.179999828338623,29.218523025512695
2010-09-14,6.269999980926514,29.018953323364258
2010-09-15,6.21999979019165,28.779964447021484
2010-09-16,6.150000095367432,28.80706024169922
2010-09-17,6.119999885559082,28.762714385986328
2010-09-20,6.090000152587891,30.339563369750977
2010-09-21,6.170000076293945,29.90839385986328
2010-09-22,6.260000228881836,29.243160247802734
2010-09-23,6.400000095367432,28.947505950927734
2010-09-24,6.840000152587891,29.40331268310547
2010-09-27,7.019999980926514,28.836633682250977
2010-09-28,6.949999809265137,28.277341842651367
2010-09-29,7.28000020980835,27.984148025512695
2010-09-30,7.110000133514404,27.545583724975586
2010-10-01,7.050000190734863,27.594860076904297
2010-10-04,6.940000057220459,27.614574432373047
2010-10-05,6.980000019073486,28.06545639038086
2010-10-06,6.860000133514404,25.857866287231445
2010-10-07,6.869999885559082,25.850473403930664
2010-10-08,7.050000190734863,26.084537506103516
2010-10-11,7.239999771118164,24.6160945892334
2010-10-12,7.300000190734863,25.985984802246094
2010-10-13,7.21999979019165,26.439327239990234
2010-10-14,7.139999866485596,26.45164680480957
2010-10-15,7.119999885559082,26.702953338623047
2010-10-18,6.960000038146973,26.025405883789062
2010-10-19,6.949999809265137,25.532636642456055
2010-10-20,6.820000171661377,25.729747772216797
2010-10-21,6.889999866485596,25.94409942626953
2010-10-22,6.889999866485596,26.59454917907715
2010-10-25,7.260000228881836,27.730371475219727
2010-10-26,7.199999809265137,27.560373306274414
2010-10-27,7.349999904632568,28.348793029785156
2010-10-28,7.630000114440918,28.33401107788086
2010-10-29,7.340000152587891,28.597639083862305
2010-11-01,7.360000133514404,28.026033401489258
2010-11-02,7.539999961853027,28.439958572387695
2010-11-03,7.639999866485596,28.691265106201172
2010-11-04,8.0,28.09501838684082
2010-11-05,8.039999961853027,27.88313102722168
2010-11-08,8.140000343322754,28.2108211517334
2010-11-09,7.909999847412109,28.277341842651367
2010-11-10,7.75,29.04359245300293
2010-11-11,7.630000114440918,28.760250091552734
2010-11-12,7.630000114440918,28.336475372314453
2010-11-15,7.570000171661377,27.996463775634766
2010-11-16,7.429999828338623,27.353408813476562
2010-11-17,7.329999923706055,27.13905143737793
2010-11-18,7.349999904632568,28.523725509643555
2010-11-19,7.46999979019165,33.69036865234375
2010-11-22,7.409999847412109,34.45169448852539
2010-11-23,7.320000171661377,35.10953140258789
