date,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2015-10-08,17.80139923095703,22.59494400024414,15.53939437866211,44.050445556640625,18.313716888427734,37.041683197021484,20.861318588256836,15.622264862060547,56.95166778564453,34.57231521606445
2015-10-09,17.7933406829834,22.448413848876953,15.439737319946289,44.19949722290039,18.393539428710938,37.124263763427734,20.826793670654297,15.547700881958008,57.210792541503906,34.612388610839844
2015-10-12,17.640195846557617,22.158613204956055,15.45302963256836,44.20778274536133,18.415706634521484,37.221839904785156,20.957992553710938,15.686179161071777,57.36127471923828,34.77716827392578
2015-10-13,17.571680068969727,21.927413940429688,15.333441734313965,43.73581314086914,18.37579345703125,36.996673583984375,20.826793670654297,15.650675773620605,56.64237594604492,34.59013366699219
2015-10-14,17.71274185180664,22.116273880004883,15.207213401794434,43.26384353637695,18.340322494506836,36.56882095336914,20.826793670654297,15.647119522094727,56.533687591552734,34.238311767578125
2015-10-15,17.761096954345703,22.51354217529297,15.552684783935547,43.73581314086914,18.575340270996094,36.89908981323242,20.7646484375,15.877904891967773,57.79594421386719,34.68365478515625
2015-10-16,17.769161224365234,22.5428409576416,15.645695686340332,43.512245178222656,18.610822677612305,37.25186538696289,21.159637451171875,15.899206161499023,58.3141975402832,34.86624526977539
2015-10-19,17.644227981567383,22.09674835205078,15.632405281066895,43.57020950317383,18.6817684173584,37.416996002197266,21.40685272216797,15.909860610961914,58.52320098876953,35.03102111816406
2015-10-20,17.672441482543945,22.158613204956055,15.725414276123047,43.860015869140625,18.63298797607422,37.39447784423828,21.427566528320312,15.963120460510254,57.60368347167969,34.98647689819336
2015-10-21,17.515260696411133,21.885089874267578,15.612471580505371,43.868282318115234,18.4910888671875,37.40198516845703,21.444828033447266,15.931159019470215,57.08538818359375,34.83060836791992
2015-10-22,17.994857788085938,22.279096603393555,15.864935874938965,45.09375762939453,18.907913208007812,38.14506912231445,21.716215133666992,16.115793228149414,56.7426872253418,35.28931427001953
2015-10-23,18.14397430419922,22.226985931396484,16.037660598754883,45.25935745239258,19.43560028076172,38.08503723144531,21.455188751220703,15.83174991607666,57.95478439331055,35.463008880615234
2015-10-26,17.994857788085938,21.683195114135742,15.971231460571289,45.16000747680664,19.360214233398438,38.009971618652344,21.482812881469727,15.774940490722656,58.18047332763672,35.71240997314453
2015-10-27,17.918283462524414,21.422698974609375,15.878217697143555,44.66318130493164,19.249351501464844,38.0625,21.488338470458984,15.718133926391602,59.250431060791016,35.54316329956055
2015-10-28,18.188304901123047,21.898107528686523,16.250263214111328,45.019229888916016,19.53759002685547,37.844825744628906,21.41029930114746,15.551254272460938,59.74363708496094,35.88164138793945
2015-10-29,18.224578857421875,22.008825302124023,16.230331420898438,44.99440002441406,19.484375,37.85983657836914,21.50766944885254,15.462489128112793,60.011138916015625,35.98406982421875
