date,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2000-01-03,7.228259086608887,6.6559157371521,11.090898513793945,18.07488441467285,20.62638282775879,12.138822555541992,,5.513055324554443,20.440752029418945,11.151029586791992
2000-01-04,7.158672332763672,6.530632495880127,10.606053352355957,17.575517654418945,19.579946517944336,11.79699993133545,,5.346756458282471,19.976900100708008,10.81557559967041
2000-01-05,7.4544148445129395,6.702898025512695,10.522720336914062,17.4971866607666,19.289278030395508,12.0054292678833,,5.481677532196045,19.797683715820312,10.682552337646484
2000-01-06,7.64577579498291,6.961308002471924,10.984841346740723,17.732177734375,18.649789810180664,12.230535507202148,,5.472261905670166,19.86093521118164,10.804011344909668
2000-01-07,7.64142370223999,7.035690784454346,11.166658401489258,18.407779693603516,18.9753475189209,13.005881309509277,,5.519331932067871,20.103403091430664,11.312975883483887
2000-01-10,7.615329742431641,6.976964473724365,10.969691276550293,18.407779693603516,19.69622039794922,12.714082717895508,,5.538159370422363,22.15907096862793,11.255141258239746
2000-01-11,7.524001121520996,6.984797954559326,10.787874221801758,18.172786712646484,19.138126373291016,12.714082717895508,,5.478536605834961,21.568737030029297,11.191518783569336
2000-01-12,7.415271759033203,6.953476905822754,10.999996185302734,17.95737648010254,19.05672836303711,12.780778884887695,,5.422060966491699,21.210296630859375,11.127900123596191
2000-01-13,7.445710182189941,7.074848175048828,11.33332347869873,18.300079345703125,19.231138229370117,12.847478866577148,,5.371857643127441,21.84282112121582,11.1857328414917
2000-01-14,7.39352560043335,7.031781196594238,11.598481178283691,18.172786712646484,19.6729736328125,12.889158248901367,,5.415783882141113,21.65306282043457,11.156816482543945
2000-01-18,7.215208053588867,7.117915630340576,11.212108612060547,18.1531982421875,19.77760887145996,12.672393798828125,,5.393821716308594,21.252479553222656,11.093195915222168
2000-01-19,7.076038360595703,7.094426155090332,11.174236297607422,18.094459533691406,19.812488555908203,12.764107704162598,,5.396958827972412,21.75847816467285,11.07005786895752
