date,XOM,CVX
2010-01-04,37.37728500366211,40.89091491699219
2010-01-05,37.52321243286133,41.18055725097656
2010-01-06,37.84751892089844,41.185733795166016
2010-01-07,37.728614807128906,41.03056335449219
2010-01-08,37.5772819519043,41.10298538208008
2010-01-11,37.998878479003906,41.83226013183594
2010-01-12,37.809696197509766,41.58916091918945
2010-01-13,37.65834045410156,41.27366638183594
2010-01-14,37.66374206542969,41.14434051513672
2010-01-15,37.35566711425781,40.97885513305664
2010-01-19,37.442142486572266,41.211605072021484
2010-01-20,36.77187728881836,40.42025375366211
2010-01-21,36.0529899597168,39.432376861572266
2010-01-22,35.72866439819336,38.57898712158203
2010-01-25,35.593544006347656,38.558284759521484
2010-01-26,35.63137435913086,38.35139465332031
2010-01-27,35.42597961425781,38.11867141723633
2010-01-28,35.112483978271484,37.88072967529297
2010-01-29,34.82599639892578,37.30146408081055
2010-02-01,35.77192687988281,38.05659484863281
2010-02-02,36.19353485107422,38.50656509399414
2010-02-03,35.998939514160156,37.86521530151367
2010-02-04,34.98274612426758,36.91355895996094
2010-02-05,35.02599334716797,36.815269470214844
2010-02-08,35.00966262817383,36.272193908691406
2010-02-09,35.47211837768555,36.88251876831055
2010-02-10,35.28169631958008,36.59287643432617
2010-02-11,35.493873596191406,37.09973907470703
2010-02-12,35.254493713378906,37.07887268066406
2010-02-16,36.059688568115234,38.112754821777344
2010-02-17,35.77678680419922,38.03441619873047
2010-02-18,35.88558578491211,38.44170379638672
2010-02-19,35.83663558959961,38.666236877441406
2010-02-22,35.58092498779297,38.097084045410156
2010-02-23,35.330665588378906,37.61668395996094
2010-02-24,35.662540435791016,37.7733268737793
2010-02-25,35.439476013183594,37.653236389160156
2010-02-26,35.363304138183594,37.75244140625
2010-03-01,35.58092498779297,38.01874923706055
2010-03-02,35.629886627197266,38.285064697265625
2010-03-03,35.59724426269531,38.18583297729492
2010-03-04,35.58092498779297,38.15974807739258
2010-03-05,36.163047790527344,38.796775817871094
2010-03-08,36.16851806640625,38.97430419921875
2010-03-09,36.33171081542969,38.796775817871094
2010-03-10,36.57111358642578,38.61923599243164
2010-03-11,36.57111358642578,38.63490295410156
2010-03-12,36.34259033203125,38.49392318725586
2010-03-15,36.07056427001953,38.41558837890625
2010-03-16,36.21747589111328,38.62968063354492
2010-03-17,36.64726638793945,38.9899787902832
