date,XOM,CVX
2010-01-04,37.37726974487305,40.890933990478516
2010-01-05,37.5232048034668,41.180564880371094
2010-01-06,37.84754180908203,41.185733795166016
2010-01-07,37.728614807128906,41.03056716918945
2010-01-08,37.57725143432617,41.102970123291016
2010-01-11,37.9988899230957,41.83226776123047
2010-01-12,37.809688568115234,41.58915710449219
2010-01-13,37.65834426879883,41.27367401123047
2010-01-14,37.66375732421875,41.14435577392578
2010-01-15,37.35566329956055,40.97883224487305
2010-01-19,37.442138671875,41.21160125732422
2010-01-20,36.77189254760742,40.42024230957031
2010-01-21,36.05298614501953,39.432369232177734
2010-01-22,35.728675842285156,38.5789794921875
2010-01-25,35.59354782104492,38.55828094482422
2010-01-26,35.631378173828125,38.351402282714844
2010-01-27,35.42597961425781,38.118656158447266
2010-01-28,35.11247253417969,37.8807373046875
2010-01-29,34.82599639892578,37.301456451416016
2010-02-01,35.77192687988281,38.05659103393555
2010-02-02,36.19353485107422,38.50655746459961
2010-02-03,35.998939514160156,37.865211486816406
2010-02-04,34.98274612426758,36.91354751586914
2010-02-05,35.02600860595703,36.815284729003906
2010-02-08,35.009674072265625,36.27219772338867
2010-02-09,35.472103118896484,36.88250732421875
2010-02-10,35.28169631958008,36.59288024902344
2010-02-11,35.49387741088867,37.0997428894043
2010-02-12,35.25450134277344,37.078861236572266
2010-02-16,36.05968475341797,38.112735748291016
2010-02-17,35.776790618896484,38.03441619873047
2010-02-18,35.885589599609375,38.44171142578125
2010-02-19,35.83662796020508,38.66623306274414
2010-02-22,35.580936431884766,38.097076416015625
2010-02-23,35.330665588378906,37.61668014526367
2010-02-24,35.66252899169922,37.77333068847656
2010-02-25,35.43946838378906,37.653236389160156
2010-02-26,35.36331558227539,37.752437591552734
2010-03-01,35.580936431884766,38.01874923706055
2010-03-02,35.629886627197266,38.28506088256836
2010-03-03,35.59724807739258,38.18585205078125
2010-03-04,35.580936431884766,38.159732818603516
2010-03-05,36.16305923461914,38.796783447265625
2010-03-08,36.16850662231445,38.97431945800781
2010-03-09,36.33171081542969,38.796783447265625
2010-03-10,36.57109832763672,38.61923599243164
2010-03-11,36.57109832763672,38.63490295410156
2010-03-12,36.34259796142578,38.49392318725586
2010-03-15,36.07056427001953,38.41559600830078
2010-03-16,36.21746826171875,38.62968826293945
2010-03-17,36.64726257324219,38.9899787902832
2010-03-18,36.6635856628418,39.03697967529297
2010-03-19,36.47317123413086,39.15185546875
2010-03-22,36.435089111328125,38.88031005859375
2010-03-23,36.424198150634766,39.04219055175781
2010-03-24,36.179386138916016,38.60356521606445
2010-03-25,36.07056427001953,38.53569030761719
2010-03-26,36.20113754272461,38.86465835571289
2010-03-29,36.6146240234375,39.28239822387695
2010-03-30,36.478614807128906,39.318946838378906
2010-03-31,36.44052505493164,39.595680236816406
2010-04-01,36.78327941894531,40.04475021362305
2010-04-05,37.09883499145508,40.55125427246094
2010-04-06,36.94104766845703,40.66612243652344
2010-04-07,36.636383056640625,40.39982604980469
2010-04-08,36.91928482055664,40.55125427246094
2010-04-09,37.4089241027832,41.512020111083984
2010-04-12,37.381736755371094,41.99763870239258
2010-04-13,37.354522705078125,41.88277053833008
2010-04-14,37.327327728271484,42.07596969604492
2010-04-15,37.13691329956055,42.603355407714844
2010-04-16,36.9573860168457,42.16474914550781
2010-04-19,37.12058639526367,42.462379455566406
2010-04-20,37.5231819152832,42.84355545043945
2010-04-21,37.4959831237793,42.77566909790039
2010-04-22,37.30012512207031,42.39969253540039
2010-04-23,37.67008590698242,43.167301177978516
2010-04-26,37.697269439697266,43.125518798828125
2010-04-27,37.14235305786133,41.89320755004883
2010-04-28,37.64286804199219,42.09686279296875
2010-04-29,37.354522705078125,42.96886444091797
2010-04-30,36.87032699584961,42.525020599365234
2010-05-03,36.90841293334961,43.25083541870117
2010-05-04,36.16305923461914,42.169952392578125
2010-05-05,35.999847412109375,41.8723258972168
2010-05-06,34.759422302246094,40.31105041503906
2010-05-07,34.65603256225586,40.25883102416992
2010-05-10,35.488433837890625,41.71565246582031
2010-05-11,35.30768585205078,41.616458892822266
2010-05-12,35.55418014526367,41.80443572998047
2010-05-13,35.461055755615234,41.209163665771484
2010-05-14,34.83661651611328,40.6400146484375
2010-05-17,34.655860900878906,40.96678161621094
2010-05-18,34.39293670654297,40.502986907958984
2010-05-19,34.20671844482422,40.3712272644043
2010-05-20,33.045494079589844,38.79010009765625
2010-05-21,33.34675216674805,39.25389862060547
2010-05-24,32.968807220458984,38.705780029296875
2010-05-25,32.70588302612305,38.24725341796875
2010-05-26,32.48679733276367,37.709678649902344
2010-05-27,33.664432525634766,39.19066619873047
2010-05-28,33.116703033447266,38.93241500854492
2010-06-01,32.45392990112305,38.09968566894531
2010-06-02,33.286495208740234,39.06943893432617
2010-06-03,33.71921157836914,38.9534912109375
2010-06-04,32.607295989990234,37.56739044189453
2010-06-07,32.48130416870117,37.60426330566406
2010-06-08,33.543941497802734,37.43034362792969
2010-06-09,32.88117218017578,37.30913543701172
2010-06-10,33.89997482299805,39.09051513671875
2010-06-11,33.883541107177734,39.03253173828125
2010-06-14,33.615142822265625,39.09577941894531
2010-06-15,34.23957443237305,39.649173736572266
2010-06-16,34.23957443237305,39.50160217285156
2010-06-17,34.288883209228516,39.696617126464844
2010-06-18,34.562747955322266,39.80203628540039
2010-06-21,34.57918930053711,39.90742492675781
2010-06-22,33.9273567199707,39.00092697143555
2010-06-23,33.46725845336914,38.083866119384766
2010-06-24,32.903079986572266,37.3302001953125
2010-06-25,32.37175750732422,36.92438507080078
2010-06-28,32.02669143676758,36.871681213378906
2010-06-29,31.38035011291504,36.028419494628906
2010-06-30,31.259830474853516,35.7649040222168
2010-07-01,31.007884979248047,35.56462860107422
2010-07-02,30.985965728759766,35.47502136230469
2010-07-06,31.473461151123047,35.606788635253906
2010-07-07,32.004783630371094,36.60289001464844
2010-07-08,32.21291732788086,37.108856201171875
2010-07-09,32.19648742675781,37.86251449584961
2010-07-12,32.284122467041016,37.86779022216797
2010-07-13,32.547035217285156,38.5950927734375
2010-07-14,32.45939254760742,38.5002326965332
2010-07-15,32.46487808227539,38.49496078491211
2010-07-16,31.74733543395996,37.68332290649414
2010-07-19,32.004783630371094,37.946834564208984
2010-07-20,32.289608001708984,38.52659225463867
2010-07-21,31.86235809326172,38.03643035888672
2010-07-22,32.52512741088867,38.705780029296875
2010-07-23,32.711368560791016,38.74793243408203
2010-07-26,33.0783576965332,39.32768630981445
2010-07-27,33.308406829833984,39.68607711791992
2010-07-28,33.36317443847656,39.823097229003906
2010-07-29,33.05097198486328,40.06552505493164
2010-07-30,32.68946075439453,40.165687561035156
2010-08-02,33.9273567199707,41.00367736816406
2010-08-03,34.3546142578125,41.45692443847656
2010-08-04,34.3546142578125,41.64667510986328
2010-08-05,34.349124908447266,41.673030853271484
2010-08-06,33.94379806518555,41.493831634521484
2010-08-09,34.20671844482422,41.78895950317383
2010-08-10,33.921875,41.657196044921875
2010-08-11,33.31504440307617,40.650550842285156
2010-08-12,33.22679138183594,40.61894226074219
2010-08-13,33.05025100708008,40.79286193847656
2010-08-16,33.033714294433594,40.95623779296875
2010-08-17,33.552268981933594,41.37116241455078
2010-08-18,33.18266296386719,40.98283386230469
2010-08-19,32.70821762084961,40.34446716308594
2010-08-20,32.48755645751953,39.92422866821289
2010-08-23,32.82407760620117,39.92422866821289
2010-08-24,32.515132904052734,39.248619079589844
2010-08-25,32.49858474731445,39.40289306640625
2010-08-26,32.261375427246094,39.009239196777344
2010-08-27,32.98957061767578,39.86039733886719
2010-08-30,32.54824447631836,39.248619079589844
2010-08-31,32.608917236328125,39.408203125
2010-09-01,33.60190963745117,40.83920669555664
2010-09-02,33.68467330932617,41.2009391784668
2010-09-03,33.82810592651367,41.4935417175293
2010-09-07,33.4033203125,40.9881706237793
2010-09-08,33.513648986816406,41.094547271728516
2010-09-09,33.67916488647461,41.153076171875
2010-09-10,33.76190948486328,41.929725646972656
2010-09-13,33.65156936645508,42.158477783203125
2010-09-14,33.65708541870117,42.296810150146484
2010-09-15,33.65156936645508,42.13721466064453
2010-09-16,33.63501739501953,42.052101135253906
2010-09-17,33.53019714355469,41.73824691772461
2010-09-20,33.954986572265625,42.50426483154297
2010-09-21,33.9494743347168,42.424476623535156
2010-09-22,33.899818420410156,42.158477783203125
2010-09-23,33.734310150146484,41.780784606933594
2010-09-24,34.06533432006836,42.621307373046875
2010-09-27,34.04325866699219,42.600013732910156
2010-09-28,34.23632049560547,43.02558898925781
2010-09-29,33.97706985473633,43.238372802734375
2010-09-30,34.087398529052734,43.11604690551758
2010-10-01,34.50114059448242,43.59480667114258
2010-10-04,34.30806350708008,43.25434112548828
